Episode,Reward,Length
1,26.0,28
2,26.0,28
3,12.0,14
4,32.0,34
5,14.0,16
6,11.0,13
7,19.0,21
8,10.0,12
9,12.0,14
10,15.0,17
11,15.0,13
12,11.0,16
13,14.0,19
14,17.0,19
15,17.0,15
16,13.0,17
17,15.0,20
18,18.0,17
19,15.0,18
20,16.0,27
21,25.0,13
22,25.0,11
23,11.0,29
24,9.0,17
25,27.0,54
26,15.0,20
27,52.0,10
28,18.0,22
29,8.0,14
30,20.0,16
31,12.0,60
32,14.0,18
33,14.0,30
34,58.0,18
35,16.0,53
36,28.0,10
37,16.0,43
38,51.0,28
39,8.0,11
40,41.0,16
41,26.0,21
42,9.0,21
43,14.0,14
44,14.0,16
45,19.0,26
46,19.0,17
47,12.0,13
48,14.0,42
49,24.0,21
50,15.0,32
51,11.0,31
52,40.0,14
53,19.0,12
54,30.0,12
55,30.0,13
56,29.0,23
57,12.0,15
58,10.0,11
59,10.0,15
60,11.0,14
61,21.0,20
62,13.0,13
63,9.0,22
64,13.0,14
65,12.0,22
66,12.0,16
67,18.0,11
68,11.0,18
69,20.0,11
70,12.0,17
71,20.0,21
72,14.0,17
73,9.0,18
74,16.0,12
75,9.0,15
76,15.0,12
77,15.0,11
78,19.0,12
79,15.0,21
80,16.0,16
81,10.0,11
82,13.0,13
83,10.0,13
84,9.0,15
85,10.0,13
86,19.0,12
87,14.0,36
88,14.0,20
89,9.0,11
90,11.0,19
91,11.0,37
92,13.0,13
93,11.0,17
94,10.0,19
95,34.0,46
96,18.0,38
97,9.0,33
98,17.0,12
99,17.0,11
100,35.0,34
101,11.0,40
102,15.0,27
103,17.0,18
104,44.0,13
105,36.0,46
106,31.0,12
107,10.0,16
108,9.0,16
109,32.0,14
110,32.0,31
111,38.0,29
112,25.0,41
113,16.0,13
114,11.0,13
115,44.0,14
116,10.0,15
117,14.0,14
118,14.0,50
119,12.0,26
120,29.0,20
121,29.0,18
122,27.0,54
123,39.0,52
124,11.0,21
125,11.0,15
126,12.0,32
127,13.0,15
128,12.0,16
129,48.0,15
130,24.0,12
131,18.0,12
132,18.0,63
133,16.0,28
134,52.0,12
135,50.0,39
136,19.0,20
137,13.0,21
138,30.0,15
139,13.0,16
140,14.0,13
141,13.0,31
142,10.0,15
143,10.0,17
144,10.0,14
145,61.0,28
146,26.0,20
147,10.0,32
148,37.0,27
149,18.0,11
150,19.0,14
151,13.0,19
152,14.0,16
153,11.0,20
154,11.0,36
155,29.0,16
156,13.0,13
157,15.0,15
158,12.0,17
159,26.0,37
160,18.0,72
161,30.0,46
162,25.0,21
163,9.0,13
164,12.0,20
165,12.0,58
166,17.0,60
167,14.0,13
168,18.0,16
169,34.0,13
170,14.0,27
171,11.0,17
172,13.0,45
173,15.0,26
174,35.0,46
175,70.0,48
176,70.0,13
177,44.0,24
178,19.0,38
179,11.0,12
180,18.0,33
181,56.0,32
182,58.0,14
183,11.0,20
184,14.0,29
185,11.0,42
186,25.0,17
187,25.0,54
188,15.0,17
189,43.0,28
190,24.0,47
191,44.0,18
192,46.0,66
193,11.0,43
194,22.0,37
195,36.0,126
196,10.0,47
197,31.0,37
198,31.0,66
199,30.0,33
200,12.0,39
201,18.0,48
202,27.0,33
203,40.0,71
204,15.0,33
205,52.0,25
206,15.0,43
207,26.0,46
208,45.0,43
209,45.0,97
210,16.0,14
211,64.0,45
212,41.0,96
213,35.0,120
214,124.0,66
215,45.0,124
216,35.0,67
217,64.0,24
218,31.0,153
219,37.0,99
220,37.0,243
221,46.0,149
222,31.0,165
223,69.0,170
224,31.0,222
225,23.0,265
226,41.0,168
227,44.0,299
228,41.0,213
229,95.0,12
230,12.0,240
231,12.0,189
232,43.0,158
233,94.0,211
234,118.0,209
235,64.0,195
236,122.0,27
237,65.0,195
238,22.0,218
239,151.0,87
240,97.0,216
241,241.0,207
242,241.0,238
243,147.0,177
244,163.0,202
245,168.0,183
246,220.0,192
247,263.0,240
248,166.0,212
249,297.0,262
250,211.0,423
251,10.0,305
252,238.0,472
253,238.0,262
254,187.0,25
255,156.0,141
256,209.0,238
257,207.0,216
258,193.0,124
259,25.0,230
260,193.0,230
261,216.0,321
262,85.0,272
263,214.0,501
264,214.0,170
265,205.0,174
266,236.0,181
267,175.0,135
268,200.0,166
269,181.0,16
270,190.0,147
271,238.0,64
272,210.0,156
273,260.0,14
274,421.0,203
275,421.0,226
276,303.0,108
277,470.0,66
278,260.0,292
279,23.0,261
280,139.0,176
281,236.0,323
282,214.0,118
283,122.0,91
284,228.0,253
285,228.0,501
286,228.0,501
287,319.0,314
288,270.0,32
289,500.0,402
290,168.0,349
291,172.0,501
292,179.0,317
293,133.0,501
294,164.0,29
295,14.0,265
296,145.0,234
297,145.0,315
298,62.0,245
299,154.0,278
300,12.0,276
301,201.0,337
302,224.0,221
303,106.0,370
304,64.0,206
305,290.0,274
306,259.0,251
307,174.0,205
308,174.0,252
309,321.0,220
310,116.0,277
311,89.0,155
312,251.0,256
313,500.0,26
314,500.0,501
315,312.0,94
316,30.0,154
317,400.0,116
318,347.0,129
319,347.0,432
320,500.0,273
321,315.0,155
322,500.0,59
323,27.0,52
324,263.0,245
325,232.0,102
326,313.0,105
327,243.0,192
328,276.0,17
329,274.0,111
330,274.0,12
331,335.0,111
332,219.0,158
333,368.0,124
334,204.0,80
335,272.0,112
336,249.0,115
337,203.0,113
338,250.0,119
339,218.0,114
340,275.0,165
341,275.0,112
342,153.0,12
343,254.0,140
344,24.0,115
345,500.0,112
346,92.0,239
347,152.0,277
348,114.0,164
349,127.0,172
350,430.0,125
351,271.0,158
352,271.0,351
353,153.0,86
354,57.0,390
355,50.0,501
356,243.0,225
357,100.0,501
358,103.0,226
359,190.0,213
360,15.0,219
361,109.0,196
362,10.0,238
363,10.0,212
364,109.0,242
365,156.0,250
366,122.0,291
367,78.0,172
368,110.0,266
369,113.0,306
370,111.0,139
371,117.0,207
372,112.0,291
373,163.0,219
374,163.0,172
375,110.0,305
376,10.0,228
377,138.0,234
378,113.0,352
379,110.0,445
380,237.0,470
381,275.0,501
382,162.0,95
383,170.0,118
384,123.0,238
385,123.0,69
386,156.0,501
387,349.0,256
388,84.0,501
389,388.0,501
390,500.0,501
391,223.0,420
392,500.0,501
393,224.0,501
394,211.0,403
395,217.0,126
396,217.0,173
397,194.0,133
398,236.0,491
399,210.0,184
400,240.0,300
401,248.0,278
402,289.0,242
403,170.0,191
404,264.0,119
405,304.0,164
406,137.0,133
407,137.0,144
408,205.0,132
409,289.0,136
410,217.0,129
411,170.0,133
412,303.0,130
413,226.0,146
414,232.0,137
415,350.0,139
416,443.0,136
417,468.0,136
418,468.0,131
419,500.0,127
420,93.0,135
421,116.0,134
422,236.0,136
423,67.0,142
424,500.0,134
425,254.0,140
426,500.0,130
427,500.0,122
428,500.0,123
429,500.0,130
430,418.0,117
431,500.0,130
432,500.0,136
433,401.0,116
434,124.0,114
435,171.0,112
436,131.0,120
437,489.0,110
438,182.0,104
439,298.0,104
440,298.0,60
441,276.0,107
442,240.0,20
443,189.0,107
444,117.0,103
445,162.0,121
446,131.0,110
447,142.0,14
448,130.0,20
449,134.0,21
450,127.0,109
451,127.0,117
452,131.0,110
453,128.0,124
454,144.0,125
455,135.0,118
456,137.0,104
457,134.0,113
458,134.0,118
459,129.0,114
460,125.0,110
461,133.0,14
462,133.0,14
463,132.0,92
464,134.0,116
465,140.0,18
466,132.0,106
467,138.0,100
468,128.0,106
469,120.0,12
470,121.0,104
471,128.0,111
472,115.0,126
473,115.0,112
474,128.0,110
475,134.0,109
476,114.0,119
477,112.0,98
478,110.0,112
479,118.0,111
480,108.0,108
481,102.0,86
482,102.0,107
483,58.0,110
484,58.0,106
485,105.0,108
486,18.0,111
487,105.0,111
488,101.0,12
489,119.0,106
490,108.0,104
491,12.0,119
492,18.0,109
493,19.0,117
494,107.0,14
495,107.0,107
496,115.0,129
497,108.0,132
498,122.0,130
499,123.0,151
500,116.0,206
501,102.0,174
502,111.0,123
503,116.0,131
504,112.0,183
505,108.0,163
506,108.0,180
507,12.0,186
508,12.0,201
509,90.0,133
510,114.0,14
511,16.0,172
512,104.0,178
513,98.0,189
514,104.0,196
515,10.0,201
516,102.0,203
517,102.0,191
518,109.0,192
519,124.0,196
520,110.0,237
521,108.0,282
522,107.0,236
523,117.0,32
524,96.0,85
525,110.0,96
526,109.0,207
527,106.0,161
528,106.0,215
529,84.0,246
530,105.0,193
531,108.0,142
532,104.0,162
533,106.0,287
534,109.0,152
535,109.0,138
536,10.0,114
537,104.0,133
538,102.0,267
539,102.0,234
540,117.0,238
541,107.0,168
542,115.0,271
543,12.0,501
544,105.0,416
545,127.0,167
546,130.0,164
547,128.0,146
548,149.0,163
549,204.0,151
550,204.0,286
551,172.0,141
552,121.0,501
553,129.0,38
554,181.0,138
555,161.0,161
556,178.0,144
557,184.0,147
558,199.0,138
559,131.0,140
560,12.0,136
561,12.0,156
562,170.0,225
563,176.0,142
564,187.0,144
565,194.0,153
566,199.0,140
567,201.0,158
568,189.0,137
569,190.0,138
570,194.0,142
571,235.0,135
572,235.0,149
573,280.0,144
574,234.0,161
575,30.0,151
576,83.0,158
577,94.0,157
578,205.0,137
579,159.0,187
580,213.0,472
581,244.0,351
582,191.0,454
583,191.0,501
584,140.0,501
585,160.0,171
586,285.0,217
587,150.0,221
588,136.0,231
589,112.0,209
590,131.0,245
591,265.0,243
592,232.0,241
593,236.0,232
594,236.0,262
595,166.0,330
596,269.0,309
597,500.0,300
598,414.0,276
599,165.0,501
600,162.0,501
601,144.0,325
602,161.0,303
603,149.0,338
604,284.0,233
605,284.0,238
606,139.0,240
607,500.0,225
608,36.0,311
609,136.0,307
610,159.0,210
611,142.0,187
612,145.0,249
613,136.0,451
614,138.0,501
615,134.0,214
616,134.0,342
617,154.0,214
618,223.0,132
619,140.0,162
620,142.0,141
621,151.0,143
622,138.0,30
623,156.0,29
624,135.0,22
625,136.0,16
626,140.0,27
627,140.0,41
628,133.0,21
629,147.0,26
630,142.0,29
631,159.0,28
632,149.0,97
633,156.0,23
634,155.0,130
635,135.0,42
636,185.0,31
637,470.0,47
638,470.0,75
639,349.0,32
640,452.0,28
641,500.0,55
642,500.0,52
643,169.0,45
644,215.0,51
645,219.0,33
646,229.0,236
647,207.0,501
648,243.0,253
649,243.0,501
650,241.0,501
651,239.0,319
652,230.0,428
653,260.0,130
654,328.0,129
655,307.0,137
656,298.0,137
657,274.0,129
658,500.0,130
659,500.0,127
660,500.0,126
661,323.0,122
662,301.0,113
663,336.0,127
664,231.0,146
665,236.0,230
666,238.0,157
667,223.0,174
668,309.0,192
669,305.0,166
670,208.0,192
671,208.0,163
672,185.0,148
673,247.0,152
674,449.0,138
675,500.0,202
676,212.0,227
677,340.0,232
678,212.0,165
679,130.0,273
680,160.0,235
681,139.0,239
682,139.0,226
683,141.0,241
684,28.0,204
685,27.0,238
686,20.0,217
687,14.0,214
688,25.0,205
689,39.0,339
690,19.0,210
691,24.0,181
692,27.0,336
693,27.0,192
694,26.0,323
695,95.0,178
696,21.0,109
697,128.0,231
698,40.0,250
699,29.0,262
700,45.0,290
701,73.0,74
702,30.0,44
703,26.0,266
704,26.0,30
705,53.0,21
706,50.0,32
