Episode,Reward,Length
1,15.0,16
2,26.0,27
3,17.0,18
4,11.0,12
5,18.0,19
6,17.0,18
7,47.0,48
8,11.0,12
9,23.0,24
10,13.0,14
11,25.0,26
12,30.0,31
13,42.0,43
14,8.0,9
15,47.0,48
16,29.0,30
17,17.0,18
18,55.0,56
19,10.0,11
20,25.0,26
21,27.0,28
22,31.0,32
23,20.0,21
24,20.0,21
25,21.0,22
26,13.0,14
27,13.0,14
28,21.0,22
29,19.0,20
30,61.0,62
31,14.0,15
32,11.0,12
33,15.0,16
34,21.0,22
35,28.0,29
36,15.0,16
37,15.0,16
38,11.0,12
39,12.0,13
40,36.0,37
41,30.0,31
42,18.0,19
43,17.0,18
44,8.0,9
45,12.0,13
46,15.0,16
47,21.0,22
48,12.0,13
49,24.0,25
50,44.0,45
51,11.0,12
52,14.0,15
53,9.0,10
54,10.0,11
55,23.0,24
56,10.0,11
57,16.0,17
58,56.0,57
59,38.0,39
60,17.0,18
61,15.0,16
62,10.0,11
63,19.0,20
64,32.0,33
65,50.0,51
66,23.0,24
67,11.0,12
68,31.0,32
69,13.0,14
70,22.0,23
71,11.0,12
72,12.0,13
73,19.0,20
74,21.0,22
75,12.0,13
76,20.0,21
77,17.0,18
78,14.0,15
79,11.0,12
80,38.0,39
81,17.0,18
82,25.0,26
83,56.0,57
84,18.0,19
85,12.0,13
86,13.0,14
87,18.0,19
88,16.0,17
89,11.0,12
90,10.0,11
91,30.0,31
92,17.0,18
93,28.0,29
94,23.0,24
95,28.0,29
96,9.0,10
97,10.0,11
98,32.0,33
99,15.0,16
100,44.0,45
101,8.0,9
102,13.0,14
103,32.0,33
104,11.0,12
105,18.0,19
106,19.0,20
107,19.0,20
108,12.0,13
109,16.0,17
110,17.0,18
111,9.0,10
112,11.0,12
113,11.0,12
114,20.0,21
115,15.0,16
116,14.0,15
117,14.0,15
118,9.0,10
119,16.0,17
120,12.0,13
121,17.0,18
122,14.0,15
123,54.0,55
124,22.0,23
125,14.0,15
126,45.0,46
127,11.0,12
128,13.0,14
129,17.0,18
130,15.0,16
131,9.0,10
132,21.0,22
133,20.0,21
134,8.0,9
135,19.0,20
136,51.0,52
137,22.0,23
138,30.0,31
139,27.0,28
140,13.0,14
141,20.0,21
142,16.0,17
143,35.0,36
144,77.0,78
145,10.0,11
146,29.0,30
147,15.0,16
148,23.0,24
149,11.0,12
150,24.0,25
151,66.0,67
152,14.0,15
153,18.0,19
154,13.0,14
155,16.0,17
156,14.0,15
157,36.0,37
158,19.0,20
159,14.0,15
160,20.0,21
161,16.0,17
162,12.0,13
163,17.0,18
164,10.0,11
165,10.0,11
166,16.0,17
167,39.0,40
168,13.0,14
169,26.0,27
170,15.0,16
171,21.0,22
172,11.0,12
173,36.0,37
174,49.0,50
175,46.0,47
176,17.0,18
177,49.0,50
178,47.0,48
179,29.0,30
