episode,reward,length,epsilon,eval_reward
1,44.0,45,0.995,
2,33.0,34,0.990025,
3,24.0,25,0.985074875,
4,23.0,24,0.9801495006250001,
5,19.0,20,0.9752487531218751,
6,11.0,12,0.9703725093562657,
7,10.0,11,0.9655206468094844,
8,25.0,26,0.960693043575437,
9,19.0,20,0.9558895783575597,
10,28.0,29,0.9511101304657719,12.5
11,16.0,17,0.946354579813443,
12,33.0,34,0.9416228069143757,
13,11.0,12,0.9369146928798039,
14,15.0,16,0.9322301194154049,
15,15.0,16,0.9275689688183278,
16,15.0,16,0.9229311239742362,
17,16.0,17,0.918316468354365,
18,12.0,13,0.9137248860125932,
19,20.0,21,0.9091562615825302,
20,19.0,20,0.9046104802746175,8.5
21,22.0,23,0.9000874278732445,
22,28.0,29,0.8955869907338783,
23,34.0,35,0.8911090557802088,
24,25.0,26,0.8866535105013078,
25,15.0,16,0.8822202429488013,
26,16.0,17,0.8778091417340573,
27,39.0,40,0.8734200960253871,
28,11.0,12,0.8690529955452602,
29,15.0,16,0.8647077305675338,
30,14.0,15,0.8603841919146962,17.7
31,12.0,13,0.8560822709551227,
32,17.0,18,0.851801859600347,
33,14.0,15,0.8475428503023453,
34,17.0,18,0.8433051360508336,
35,17.0,18,0.8390886103705794,
36,14.0,15,0.8348931673187264,
37,31.0,32,0.8307187014821328,
38,8.0,9,0.8265651079747222,
39,27.0,28,0.8224322824348486,
40,13.0,14,0.8183201210226743,17.8
41,24.0,25,0.8142285204175609,
42,10.0,11,0.810157377815473,
43,22.0,23,0.8061065909263957,
44,31.0,32,0.8020760579717637,
45,18.0,19,0.798065677681905,
46,17.0,18,0.7940753492934954,
47,15.0,16,0.7901049725470279,
48,12.0,13,0.7861544476842928,
49,23.0,24,0.7822236754458713,
50,29.0,30,0.778312557068642,9.1
51,21.0,22,0.7744209942832988,
52,30.0,31,0.7705488893118823,
53,12.0,13,0.7666961448653229,
54,96.0,97,0.7628626641409962,
55,44.0,45,0.7590483508202912,
56,41.0,42,0.7552531090661897,
57,16.0,17,0.7514768435208588,
58,33.0,34,0.7477194593032545,
59,21.0,22,0.7439808620067382,
60,22.0,23,0.7402609576967045,26.4
61,23.0,24,0.736559652908221,
62,26.0,27,0.7328768546436799,
63,52.0,53,0.7292124703704616,
64,27.0,28,0.7255664080186093,
65,26.0,27,0.7219385759785162,
66,10.0,11,0.7183288830986236,
67,12.0,13,0.7147372386831305,
68,44.0,45,0.7111635524897149,
69,24.0,25,0.7076077347272662,
70,14.0,15,0.7040696960536299,37.7
71,10.0,11,0.7005493475733617,
72,10.0,11,0.697046600835495,
73,45.0,46,0.6935613678313175,
74,15.0,16,0.6900935609921609,
75,28.0,29,0.6866430931872001,
76,11.0,12,0.6832098777212641,
77,9.0,10,0.6797938283326578,
78,15.0,16,0.6763948591909945,
79,10.0,11,0.6730128848950395,
80,9.0,10,0.6696478204705644,46.9
81,28.0,29,0.6662995813682115,
82,22.0,23,0.6629680834613705,
83,47.0,48,0.6596532430440636,
84,20.0,21,0.6563549768288433,
85,12.0,13,0.653073201944699,
86,16.0,17,0.6498078359349755,
87,15.0,16,0.6465587967553006,
88,11.0,12,0.6433260027715241,
89,36.0,37,0.6401093727576664,
90,30.0,31,0.6369088258938781,16.8
91,10.0,11,0.6337242817644086,
92,31.0,32,0.6305556603555866,
93,30.0,31,0.6274028820538087,
94,14.0,15,0.6242658676435396,
95,10.0,11,0.6211445383053219,
96,16.0,17,0.6180388156137953,
97,15.0,16,0.6149486215357263,
98,12.0,13,0.6118738784280476,
99,19.0,20,0.6088145090359074,
100,68.0,69,0.6057704364907278,62.6
101,47.0,48,0.6027415843082742,
102,19.0,20,0.5997278763867329,
103,38.0,39,0.5967292370047992,
104,11.0,12,0.5937455908197752,
105,12.0,13,0.5907768628656763,
106,87.0,88,0.5878229785513479,
107,26.0,27,0.5848838636585911,
108,12.0,13,0.5819594443402982,
109,19.0,20,0.5790496471185967,
110,16.0,17,0.5761543988830038,93.8
111,12.0,13,0.5732736268885887,
112,29.0,30,0.5704072587541458,
113,19.0,20,0.567555222460375,
114,35.0,36,0.5647174463480732,
115,34.0,35,0.5618938591163328,
116,15.0,16,0.5590843898207511,
117,21.0,22,0.5562889678716474,
118,14.0,15,0.5535075230322891,
119,10.0,11,0.5507399854171277,
120,16.0,17,0.547986285490042,35.7
121,41.0,42,0.5452463540625918,
122,19.0,20,0.5425201222922789,
123,13.0,14,0.5398075216808175,
124,36.0,37,0.5371084840724134,
125,54.0,55,0.5344229416520513,
126,14.0,15,0.531750826943791,
127,41.0,42,0.5290920728090721,
128,8.0,9,0.5264466124450268,
129,13.0,14,0.5238143793828016,
130,33.0,34,0.5211953074858876,74.7
131,13.0,14,0.5185893309484582,
132,14.0,15,0.5159963842937159,
133,13.0,14,0.5134164023722473,
134,83.0,84,0.510849320360386,
135,40.0,41,0.5082950737585841,
136,54.0,55,0.5057535983897912,
137,98.0,99,0.5032248303978422,
138,106.0,107,0.500708706245853,
139,11.0,12,0.4982051627146237,
140,85.0,86,0.49571413690105054,143.4
141,86.0,87,0.4932355662165453,
142,47.0,48,0.4907693883854626,
143,23.0,24,0.4883155414435353,
144,29.0,30,0.4858739637363176,
145,14.0,15,0.483444593917636,
146,45.0,46,0.4810273709480478,
147,73.0,74,0.47862223409330756,
148,105.0,106,0.47622912292284103,
149,149.0,150,0.4738479773082268,
150,103.0,104,0.47147873742168567,181.6
151,30.0,31,0.46912134373457726,
152,16.0,17,0.46677573701590436,
153,124.0,125,0.46444185833082485,
154,82.0,83,0.46211964903917074,
155,49.0,50,0.4598090507939749,
156,19.0,20,0.457510005540005,
157,126.0,127,0.45522245551230495,
158,91.0,92,0.4529463432347434,
159,125.0,126,0.4506816115185697,
160,132.0,133,0.4484282034609769,126.6
161,110.0,111,0.446186062443672,
162,78.0,79,0.4439551321314536,
163,116.0,117,0.4417353564707963,
164,102.0,103,0.43952667968844233,
165,64.0,65,0.43732904629000013,
166,99.0,100,0.4351424010585501,
167,85.0,86,0.43296668905325736,
168,14.0,15,0.43080185560799106,
169,20.0,21,0.4286478463299511,
170,42.0,43,0.42650460709830135,124.4
171,49.0,50,0.42437208406280985,
172,29.0,30,0.4222502236424958,
173,46.0,47,0.42013897252428334,
174,118.0,119,0.4180382776616619,
175,16.0,17,0.4159480862733536,
176,21.0,22,0.41386834584198684,
177,108.0,109,0.4117990041127769,
178,112.0,113,0.40974000909221303,
179,77.0,78,0.40769130904675194,
180,44.0,45,0.40565285250151817,135.6
181,106.0,107,0.4036245882390106,
182,52.0,53,0.4016064652978155,
183,31.0,32,0.3995984329713264,
184,106.0,107,0.3976004408064698,
185,102.0,103,0.39561243860243744,
186,14.0,15,0.3936343764094253,
187,15.0,16,0.39166620452737816,
188,117.0,118,0.3897078735047413,
189,27.0,28,0.3877593341372176,
190,105.0,106,0.3858205374665315,120.2
191,28.0,29,0.38389143477919885,
192,42.0,43,0.3819719776053028,
193,119.0,120,0.3800621177172763,
194,13.0,14,0.37816180712868996,
195,33.0,34,0.37627099809304654,
196,126.0,127,0.3743896431025813,
197,117.0,118,0.37251769488706843,
198,99.0,100,0.3706551064126331,
199,9.0,10,0.36880183088056995,
200,51.0,52,0.3669578217261671,125.2
201,49.0,50,0.36512303261753626,
202,116.0,117,0.3632974174544486,
203,70.0,71,0.3614809303671764,
204,117.0,118,0.3596735257153405,
205,15.0,16,0.3578751580867638,
206,57.0,58,0.35608578229633,
207,117.0,118,0.3543053533848483,
208,79.0,80,0.35253382661792404,
209,46.0,47,0.3507711574848344,
210,91.0,92,0.34901730169741024,127.8
211,84.0,85,0.3472722151889232,
212,24.0,25,0.3455358541129786,
213,22.0,23,0.3438081748424137,
214,118.0,119,0.3420891339682016,
215,125.0,126,0.3403786882983606,
216,45.0,46,0.3386767948568688,
217,123.0,124,0.33698341088258443,
218,15.0,16,0.3352984938281715,
219,16.0,17,0.33362200135903064,
220,132.0,133,0.33195389135223546,176.7
221,144.0,145,0.3302941218954743,
222,16.0,17,0.32864265128599696,
223,13.0,14,0.326999438029567,
224,35.0,36,0.3253644408394192,
225,13.0,14,0.3237376186352221,
226,125.0,126,0.322118930542046,
227,187.0,188,0.32050833588933575,
228,144.0,145,0.31890579420988907,
229,133.0,134,0.3173112652388396,
230,127.0,128,0.3157247089126454,187.4
231,150.0,151,0.3141460853680822,
