episode,reward,length,epsilon,eval_reward
1,28.0,29,0.9938671626323065,
2,38.0,39,0.9877719369587915,
3,47.0,48,0.9817140923130516,
4,35.0,36,0.9756933994433228,
5,37.0,38,0.9697096305038049,
6,37.0,38,0.9637625590460388,
7,32.0,33,0.9578519600103373,
8,32.0,33,0.9519776097172674,
9,32.0,33,0.9461392858591858,
10,31.0,32,0.9403367674918257,44.8
11,37.0,38,0.9345698350259357,
12,35.0,36,0.9288382702189695,
13,31.0,32,0.9231418561668268,
14,64.0,65,0.9174803772956449,
15,26.0,27,0.9118536193536406,
16,34.0,35,0.9062613694030021,
17,33.0,34,0.9007034158118302,
18,34.0,35,0.8951795482461302,
19,48.0,49,0.8896895576618513,
20,45.0,46,0.8842332362969759,35.3
21,40.0,41,0.8788103776636572,
22,25.0,26,0.8734207765404046,
23,37.0,38,0.8680642289643177,
24,27.0,28,0.8627405322233672,
25,37.0,38,0.857449484848724,
26,34.0,35,0.8521908866071342,
27,29.0,30,0.8469645384933421,
28,51.0,52,0.8417702427225588,
29,49.0,50,0.8366078027229775,
30,38.0,39,0.831477023128334,42.9
31,52.0,53,0.8263777097705141,
32,78.0,79,0.8213096696722044,
33,38.0,39,0.8162727110395906,
34,43.0,44,0.8112666432550986,
35,49.0,50,0.8062912768701804,
36,35.0,36,0.8013464235981457,
37,43.0,44,0.7964318963070354,
38,55.0,56,0.7915475090125406,
39,34.0,35,0.7866930768709637,
40,63.0,64,0.7818684161722236,40.2
41,36.0,37,0.7770733443329032,
42,42.0,43,0.7723076798893398,
43,39.0,40,0.7675712424907577,
44,35.0,36,0.7628638528924434,
45,50.0,51,0.758185332948962,
46,36.0,37,0.7535355056074153,
47,58.0,59,0.7489141949007423,
48,32.0,33,0.7443212259410589,
49,29.0,30,0.7397564249130401,
50,27.0,28,0.735219619067342,37.8
51,32.0,33,0.7307106367140644,
52,27.0,28,0.7262293072162533,
53,38.0,39,0.7217754609834433,
54,32.0,33,0.7173489294652398,
55,33.0,34,0.7129495451449404,
56,33.0,34,0.7085771415331954,
57,39.0,40,0.7042315531617072,
58,45.0,46,0.6999126155769682,
59,30.0,31,0.6956201653340376,
60,33.0,34,0.6913540399903558,43.6
61,42.0,43,0.6871140780995971,
62,66.0,67,0.6829001192055596,
63,33.0,34,0.6787120038360933,
64,31.0,32,0.6745495734970651,
65,42.0,43,0.6704126706663606,
66,50.0,51,0.6663011387879226,
67,39.0,40,0.6622148222658273,
68,33.0,34,0.6581535664583948,
69,43.0,44,0.654117217672338,
70,74.0,75,0.6501056231569453,37.3
71,41.0,42,0.6461186310983007,
72,31.0,32,0.6421560906135381,
73,52.0,53,0.6382178517451313,
74,48.0,49,0.6343037654552197,
75,38.0,39,0.6304136836199672,
76,46.0,47,0.6265474590239574,
77,32.0,33,0.6227049453546218,
78,41.0,42,0.6188859971967035,
79,27.0,28,0.6150904700267532,
80,32.0,33,0.6113182202076609,35.2
81,31.0,32,0.6075691049832195,
82,45.0,46,0.6038429824727223,
83,29.0,30,0.6001397116655941,
84,35.0,36,0.5964591524160545,
85,44.0,45,0.5928011654378145,
86,42.0,43,0.5891656122988052,
87,40.0,41,0.585552355415939,
88,36.0,37,0.5819612580499032,
89,56.0,57,0.5783921842999847,
90,46.0,47,0.574844999098928,46.9
91,32.0,33,0.5713195682078223,
92,29.0,30,0.5678157582110228,
93,42.0,43,0.564333436511101,
94,33.0,34,0.5608724713238268,
95,54.0,55,0.5574327316731814,
96,29.0,30,0.5540140873864007,
97,53.0,54,0.5506164090890487,
98,38.0,39,0.5472395682001222,
99,95.0,96,0.543883436927184,
100,52.0,53,0.5405478882615273,39.4
101,28.0,29,0.5372327959733691,
102,35.0,36,0.5339380346070732,
103,30.0,31,0.5306634794764021,
104,52.0,53,0.527409006659799,
105,46.0,47,0.5241744929956976,
106,38.0,39,0.5209598160778618,
107,51.0,52,0.5177648542507527,
108,31.0,32,0.5145894866049253,
109,46.0,47,0.5114335929724524,
110,52.0,53,0.5082970539223771,41.4
111,31.0,32,0.5051797507561934,
112,61.0,62,0.5020815655033537,
113,35.0,36,0.49900238091680466,
114,27.0,28,0.49594208046855004,
115,49.0,50,0.49290054834524083,
116,30.0,31,0.4898776694437925,
117,56.0,57,0.486873329367029,
118,31.0,32,0.4838874144193535,
119,37.0,38,0.4809198116024459,
120,62.0,63,0.4779704086109863,38.4
121,34.0,35,0.4750390938284051,
122,134.0,135,0.47212575632265896,
123,63.0,64,0.4692302858420328,
124,25.0,26,0.46635257281096726,
125,45.0,46,0.46349250832591216,
126,29.0,30,0.460649984151205,
127,30.0,31,0.45782489271497506,
128,31.0,32,0.45501712710507236,
129,31.0,32,0.45222658106502184,
130,28.0,29,0.449453148990002,38.9
131,35.0,36,0.4466967259228486,
132,33.0,34,0.4439572075500826,
133,25.0,26,0.44123449019796257,
134,29.0,30,0.4385284708285613,
135,50.0,51,0.43583904703586634,
136,39.0,40,0.43316611704190483,
137,60.0,61,0.4305095796928915,
138,38.0,39,0.4278693344554009,
139,32.0,33,0.4252452814125626,
140,36.0,37,0.4226373212602803,41.7
141,49.0,50,0.42004535530347337,
142,30.0,31,0.41746928545234213,
143,48.0,49,0.41490901421865567,
144,39.0,40,0.4123644447120626,
145,32.0,33,0.4098354806364243,
146,32.0,33,0.4073220262861706,
147,31.0,32,0.4048239865426781,
148,29.0,30,0.4023412668706705,
149,25.0,26,0.3998737733146409,
150,38.0,39,0.3974214124952963,43.4
151,43.0,44,0.3949840916060236,
152,32.0,33,0.3925617184093777,
153,26.0,27,0.3901542012335907,
154,43.0,44,0.3877614489691027,
155,27.0,28,0.385383371065114,
156,41.0,42,0.3830198775261582,
157,60.0,61,0.38067087890869633,
158,36.0,37,0.3783362863177323,
159,29.0,30,0.37601601140344854,
160,67.0,68,0.3737099663578624,38.9
161,44.0,45,0.3714180639115034,
162,31.0,32,0.36914021733011054,
163,27.0,28,0.3668763404113499,
164,33.0,34,0.36462634748155254,
165,30.0,31,0.36239015339247205,
166,51.0,52,0.3601676735180625,
167,29.0,30,0.3579588237512757,
168,35.0,36,0.3557635205008782,
169,46.0,47,0.3535816806882882,
170,34.0,35,0.3514132217444312,40.3
171,38.0,39,0.3492580616066154,
172,74.0,75,0.34711611871542614,
173,53.0,54,0.3449873120116394,
174,51.0,52,0.3428715609331543,
175,31.0,32,0.34076878541194405,
176,38.0,39,0.3386789058710261,
177,29.0,30,0.3366018432214507,
178,41.0,42,0.33453751885930766,
179,31.0,32,0.3324858546627518,
180,39.0,40,0.33044677298904657,37.8
181,27.0,28,0.3284201966716256,
182,46.0,47,0.3264060490171726,
183,33.0,34,0.32440425380271887,
184,49.0,50,0.3224147352727588,
185,49.0,50,0.32043741813638305,
186,34.0,35,0.318472227564429,
187,48.0,49,0.3165190891866493,
188,35.0,36,0.3145779290888971,
189,38.0,39,0.31264867381032907,
190,32.0,33,0.31073125034062526,34.4
191,40.0,41,0.30882558611722616,
192,48.0,49,0.3069316090225866,
193,39.0,40,0.30504924738144656,
194,34.0,35,0.30317842995811883,
195,32.0,33,0.30131908595379303,
196,31.0,32,0.29947114500385635,
197,49.0,50,0.29763453717523075,
198,27.0,28,0.2958091929637263,
199,41.0,42,0.29399504329141113,
200,26.0,27,0.29219201950399687,40.7
201,30.0,31,0.29040005336824093,
202,31.0,32,0.28861907706936396,
203,62.0,63,0.28684902320848377,
204,28.0,29,0.2850898248000644,
205,26.0,27,0.28334141526938134,
206,29.0,30,0.2816037284500021,
207,29.0,30,0.2798766985812821,
208,54.0,55,0.27816026030587615,
209,36.0,37,0.2764543486672649,
210,40.0,41,0.27475889910729695,52.1
211,44.0,45,0.27307384746374536,
212,29.0,30,0.27139912996787985,
213,36.0,37,0.2697346832420533,
214,37.0,38,0.26808044429730343,
215,59.0,60,0.26643635053096903,
216,63.0,64,0.2648023397243208,
217,29.0,30,0.26317835004020684,
218,30.0,31,0.26156432002071234,
219,29.0,30,0.25996018858483394,
220,29.0,30,0.2583658950261682,37.9
221,41.0,42,0.2567813790106141,
222,38.0,39,0.2552065805740899,
223,39.0,40,0.25364144012026385,
224,38.0,39,0.2520858984182987,
225,40.0,41,0.2505398966006104,
226,33.0,34,0.24900337616064008,
227,33.0,34,0.24747627895064025,
228,27.0,28,0.24595854717947402,
229,25.0,26,0.24445012341042813,
230,46.0,47,0.24295095055903934,41.8
231,38.0,39,0.2414609718909342,
232,50.0,51,0.23998013101968188,
233,44.0,45,0.23850837190466037,
234,46.0,47,0.23704563884893573,
235,43.0,44,0.23559187649715418,
236,28.0,29,0.2341470298334474,
237,32.0,33,0.23271104417935037,
238,51.0,52,0.23128386519173227,
239,87.0,88,0.22986543886073982,
240,36.0,37,0.2284557115077534,39.9
241,29.0,30,0.22705462978335564,
242,35.0,36,0.22566214066531246,
243,34.0,35,0.22427819145656652,
244,48.0,49,0.22290272978324296,
245,35.0,36,0.2215357035926674,
246,33.0,34,0.220177061151396,
247,28.0,29,0.21882675104325777,
248,54.0,55,0.21748472216740872,
249,27.0,28,0.216150923736398,
250,36.0,37,0.21482530527424593,37.6
251,36.0,37,0.21350781661453386,
