episode,reward,length,epsilon,eval_reward
1,47.0,48,0.9984798158011636,
2,26.0,27,0.9969619425623256,
3,38.0,39,0.9954463767704012,
4,34.0,35,0.9939331149176459,
5,35.0,36,0.9924221535016479,
6,35.0,36,0.9909134890253195,
7,34.0,35,0.9894071179968894,
8,81.0,82,0.9879030369298943,
9,38.0,39,0.9864012423431711,
10,41.0,42,0.9849017307608484,42.1
11,34.0,35,0.9834044987123391,
12,31.0,32,0.981909542732332,
13,37.0,38,0.9804168593607837,
14,93.0,94,0.9789264451429107,
15,34.0,35,0.9774382966291814,
16,51.0,52,0.9759524103753081,
17,31.0,32,0.9744687829422393,
18,26.0,27,0.9729874108961512,
19,32.0,33,0.9715082908084401,
20,36.0,37,0.9700314192557147,38.6
21,33.0,34,0.9685567928197873,
22,26.0,27,0.967084408087667,
23,42.0,43,0.9656142616515512,
24,35.0,36,0.9641463501088174,
25,52.0,53,0.9626806700620163,
26,31.0,32,0.9612172181188628,
27,44.0,45,0.9597559908922291,
28,33.0,34,0.9582969850001362,
29,29.0,30,0.9568401970657464,
30,40.0,41,0.9553856237173556,38.3
31,70.0,71,0.953933261588385,
32,31.0,32,0.9524831073173738,
33,38.0,39,0.9510351575479714,
34,32.0,33,0.9495894089289292,
35,35.0,36,0.948145858114093,
36,40.0,41,0.9467045017623958,
37,40.0,41,0.9452653365378494,
38,72.0,73,0.9438283591095368,
39,33.0,34,0.9423935661516047,
40,29.0,30,0.940960954343256,38.3
41,25.0,26,0.9395305203687414,
42,41.0,42,0.9381022609173524,
43,27.0,28,0.9366761726834132,
44,42.0,43,0.9352522523662733,
45,29.0,30,0.9338304966702999,
46,41.0,42,0.9324109023048702,
47,29.0,30,0.9309934659843636,
48,39.0,40,0.9295781844281543,
49,62.0,63,0.9281650543606036,
50,36.0,37,0.9267540725110525,38.8
51,25.0,26,0.9253452356138139,
52,35.0,36,0.9239385404081653,
53,47.0,48,0.9225339836383408,
54,37.0,38,0.9211315620535242,
55,40.0,41,0.9197312724078409,
56,34.0,35,0.9183331114603508,
57,43.0,44,0.9169370759750405,
58,27.0,28,0.915543162720816,
59,39.0,40,0.9141513684714951,
60,28.0,29,0.9127616900058001,42.7
61,38.0,39,0.9113741241073501,
62,38.0,39,0.9099886675646538,
63,43.0,44,0.9086053171711018,
64,32.0,33,0.9072240697249596,
65,34.0,35,0.9058449220293597,
66,27.0,28,0.9044678708922945,
67,33.0,34,0.9030929131266089,
68,51.0,52,0.9017200455499927,
69,50.0,51,0.9003492649849736,
70,50.0,51,0.8989805682589095,39.8
71,32.0,33,0.8976139522039813,
72,40.0,41,0.8962494136571858,
73,40.0,41,0.8948869494603278,
74,42.0,43,0.8935265564600133,
75,29.0,30,0.8921682315076421,
76,59.0,60,0.8908119714594004,
77,66.0,67,0.8894577731762535,
78,47.0,48,0.8881056335239388,
79,29.0,30,0.8867555493729581,
80,38.0,39,0.8854075175985708,48.7
81,33.0,34,0.8840615350807866,
82,35.0,36,0.8827175987043577,
83,38.0,39,0.8813757053587726,
84,41.0,42,0.880035851938248,
85,26.0,27,0.878698035341722,
86,32.0,33,0.8773622524728469,
87,52.0,53,0.8760285002399822,
88,25.0,26,0.8746967755561871,
89,45.0,46,0.8733670753392134,
90,29.0,30,0.8720393965114989,37.5
91,33.0,34,0.8707137360001593,
92,32.0,33,0.8693900907369821,
93,28.0,29,0.8680684576584189,
94,43.0,44,0.8667488337055783,
95,44.0,45,0.8654312158242192,
96,39.0,40,0.8641156009647435,
97,32.0,33,0.8628019860821889,
98,45.0,46,0.8614903681362222,
99,46.0,47,0.8601807440911318,
100,33.0,34,0.8588731109158211,45.0
101,45.0,46,0.8575674655838014,
102,58.0,59,0.8562638050731847,
103,27.0,28,0.8549621263666769,
104,29.0,30,0.8536624264515708,
105,44.0,45,0.8523647023197387,
106,25.0,26,0.8510689509676264,
107,34.0,35,0.8497751693962451,
108,31.0,32,0.8484833546111654,
109,46.0,47,0.8471935036225099,
110,30.0,31,0.8459056134449461,39.7
111,61.0,62,0.84461968109768,
112,26.0,27,0.8433357036044491,
113,44.0,45,0.842053677993515,
114,40.0,41,0.8407736012976572,
115,31.0,32,0.8394954705541657,
116,27.0,28,0.8382192828048346,
117,38.0,39,0.8369450350959547,
118,45.0,46,0.8356727244783073,
119,30.0,31,0.8344023480071568,
120,31.0,32,0.8331339027422444,36.3
121,48.0,49,0.8318673857477807,
122,39.0,40,0.8306027940924396,
123,37.0,38,0.8293401248493509,
124,32.0,33,0.828079375096094,
125,36.0,37,0.8268205419146906,
126,45.0,46,0.8255636223915985,
127,37.0,38,0.8243086136177047,
128,42.0,43,0.8230555126883183,
129,35.0,36,0.8218043167031643,
130,33.0,34,0.8205550227663767,35.1
131,31.0,32,0.8193076279864915,
132,59.0,60,0.8180621294764403,
133,35.0,36,0.8168185243535437,
134,49.0,50,0.8155768097395046,
135,28.0,29,0.8143369827604012,
136,34.0,35,0.8130990405466808,
137,32.0,33,0.8118629802331527,
138,32.0,33,0.8106287989589821,
139,27.0,28,0.809396493867683,
140,36.0,37,0.8081660621071117,40.1
141,52.0,53,0.8069375008294607,
142,50.0,51,0.8057108071912512,
143,33.0,34,0.8044859783533274,
144,33.0,34,0.8032630114808492,
145,41.0,42,0.8020419037432863,
146,70.0,71,0.8008226523144112,
147,47.0,48,0.7996052543722926,
148,25.0,26,0.7983897070992892,
149,42.0,43,0.7971760076820433,
150,39.0,40,0.7959641533114736,42.1
151,28.0,29,0.7947541411827693,
152,38.0,39,0.7935459684953835,
153,50.0,51,0.7923396324530265,
154,35.0,36,0.7911351302636596,
155,35.0,36,0.7899324591394884,
156,30.0,31,0.7887316162969565,
157,28.0,29,0.7875325989567392,
