episode,reward,length,epsilon,eval_reward
1,38.0,39,0.9944220360441882,
2,34.0,35,0.9888751857702688,
3,34.0,35,0.9833592756272456,
4,62.0,63,0.9778741330321836,
5,34.0,35,0.9724195863648094,
6,42.0,43,0.9669954649621411,
7,26.0,27,0.9616015991131488,
8,27.0,28,0.9562378200534447,
9,31.0,32,0.9509039599600025,
10,43.0,44,0.945599851945907,44.5
11,31.0,32,0.9403253300551317,
12,34.0,35,0.9350802292573474,
13,32.0,33,0.9298643854427576,
14,67.0,68,0.9246776354169648,
15,37.0,38,0.9195198168958637,
16,28.0,29,0.9143907685005639,
17,32.0,33,0.9092903297523407,
18,32.0,33,0.9042183410676139,
19,39.0,40,0.8991746437529549,
20,26.0,27,0.894159080000121,43.0
21,30.0,31,0.8891714928811185,
22,43.0,44,0.8842117263432923,
23,29.0,30,0.8792796252044432,
24,95.0,96,0.8743750351479732,
25,31.0,32,0.8694978027180562,
26,35.0,36,0.8646477753148374,
27,45.0,46,0.8598248011896584,
28,29.0,30,0.8550287294403095,
29,36.0,37,0.8502594100063079,
30,51.0,52,0.8455166936642029,41.7
31,38.0,39,0.8408004320229068,
32,32.0,33,0.836110477519052,
33,30.0,31,0.8314466834123742,
34,40.0,41,0.8268089037811207,
35,58.0,59,0.8221969935174853,
36,32.0,33,0.817610808323068,
37,28.0,29,0.8130502047043597,
38,64.0,65,0.8085150399682535,
39,43.0,44,0.8040051722175788,
40,32.0,33,0.7995204603466629,35.9
41,34.0,35,0.7950607640369152,
42,40.0,41,0.7906259437524371,
43,57.0,58,0.7862158607356563,
44,46.0,47,0.7818303770029853,
45,49.0,50,0.7774693553405039,
46,30.0,31,0.7731326592996663,
47,33.0,34,0.7688201531930319,
48,25.0,26,0.7645317020900194,
49,30.0,31,0.7602671718126859,
50,57.0,58,0.7560264289315277,35.0
51,42.0,43,0.7518093407613066,
52,32.0,33,0.7476157753568974,
53,28.0,29,0.7434456015091603,
54,34.0,35,0.7392986887408354,
55,32.0,33,0.73517490730246,
56,35.0,36,0.7310741281683096,
57,28.0,29,0.7269962230323603,
58,57.0,58,0.7229410643042745,
59,25.0,26,0.718908525105409,
60,45.0,46,0.7148984792648453,37.1
61,48.0,49,0.7109108013154414,
62,28.0,29,0.7069453664899066,
63,49.0,50,0.7030020507168977,
64,47.0,48,0.699080730617137,
65,31.0,32,0.6951812834995521,
66,44.0,45,0.6913035873574366,
67,40.0,41,0.6874475208646335,
68,30.0,31,0.6836129633717384,
69,79.0,80,0.6797997949023251,
70,75.0,76,0.6760078961491917,42.2
71,31.0,32,0.6722371484706273,
72,29.0,30,0.6684874338867005,
73,29.0,30,0.6647586350755674,
74,30.0,31,0.6610506353698012,
75,40.0,41,0.657363318752742,
76,30.0,31,0.6536965698548663,
77,30.0,31,0.6500502739501781,
78,38.0,39,0.6464243169526185,
79,35.0,36,0.6428185854124965,
80,30.0,31,0.6392329665129397,35.5
81,41.0,42,0.6356673480663639,
82,31.0,32,0.6321216185109633,
83,52.0,53,0.6285956669072197,
84,57.0,58,0.6250893829344317,
85,32.0,33,0.6216026568872628,
86,34.0,35,0.6181353796723088,
87,39.0,40,0.6146874428046847,
88,54.0,55,0.6112587384046301,
89,66.0,67,0.6078491591941341,
90,41.0,42,0.6044585984935787,44.9
91,34.0,35,0.6010869502184011,
92,37.0,38,0.597734108875774,
93,27.0,28,0.5943999695613057,
94,36.0,37,0.5910844279557571,
95,32.0,33,0.5877873803217782,
96,33.0,34,0.5845087235006623,
97,32.0,33,0.5812483549091181,
98,84.0,85,0.5780061725360601,
99,42.0,43,0.5747820749394172,
100,38.0,39,0.5715759612429585,41.2
101,36.0,37,0.5683877311331368,
102,42.0,43,0.5652172848559505,
103,34.0,35,0.5620645232138222,
104,57.0,58,0.5589293475624949,
105,32.0,33,0.5558116598079459,
106,36.0,37,0.5527113624033172,
107,36.0,37,0.5496283583458639,
108,33.0,34,0.5465625511739186,
109,38.0,39,0.543513844963874,
110,62.0,63,0.5404821443271809,41.6
111,47.0,48,0.537467354407364,
112,38.0,39,0.5344693808770542,
113,62.0,63,0.5314881299350369,
114,51.0,52,0.5285235083033175,
115,43.0,44,0.5255754232242024,
116,29.0,30,0.5226437824573973,
117,35.0,36,0.5197284942771208,
118,32.0,33,0.5168294674692346,
119,32.0,33,0.5139466113283898,
120,31.0,32,0.5110798356551884,41.0
121,30.0,31,0.5082290507533616,
122,56.0,57,0.5053941674269629,
123,48.0,49,0.5025750969775777,
124,36.0,37,0.4997717512015482,
125,42.0,43,0.49698404238721305,
126,88.0,89,0.49421188331216354,
127,32.0,33,0.4914551872405144,
128,31.0,32,0.48871386792019006,
129,81.0,82,0.4859878395802259,
130,40.0,41,0.48327701692808456,39.0
131,50.0,51,0.4805813151469875,
132,34.0,35,0.477900649893261,
133,38.0,39,0.4752349372936973,
134,29.0,30,0.4725840939429306,
135,36.0,37,0.469948036900827,
136,29.0,30,0.46732668368988967,
137,33.0,34,0.46471995229267843,
138,38.0,39,0.4621277611492433,
139,43.0,44,0.4595500291545728,
140,25.0,26,0.4569866756560564,37.2
141,106.0,107,0.45443762045096064,
142,35.0,36,0.4519027837839203,
143,41.0,42,0.4493820863444426,
144,45.0,46,0.4468754492644258,
145,27.0,28,0.44438279411569165,
146,33.0,34,0.4419040429075314,
147,27.0,28,0.43943911808426567,
148,32.0,33,0.4369879425228179,
149,28.0,29,0.4345504395303013,
150,35.0,36,0.4321265328416191,38.6
151,33.0,34,0.42971614661707863,
152,38.0,39,0.4273192054400182,
153,71.0,72,0.4249356343144477,
154,57.0,58,0.4225653586627017,
155,30.0,31,0.42020830432310646,
156,40.0,41,0.41786439754765936,
157,40.0,41,0.4155335649997215,
158,40.0,41,0.4132157337517231,
159,30.0,31,0.4109108312828817,
160,49.0,50,0.40861878547693314,41.2
161,58.0,59,0.4063395246198752,
162,36.0,37,0.40407297739772385,
163,29.0,30,0.4018190728942818,
164,30.0,31,0.3995777405889198,
165,36.0,37,0.3973489103543701,
166,40.0,41,0.39513251245453235,
167,37.0,38,0.3929284775422916,
168,35.0,36,0.3907367366573487,
169,70.0,71,0.3885572212240625,
170,51.0,52,0.3863898630493043,39.0
171,34.0,35,0.3842345943203242,
172,36.0,37,0.38209134760262947,
173,37.0,38,0.37996005583787446,
174,39.0,40,0.37784065234176256,
175,39.0,40,0.3757330708019598,
176,57.0,58,0.37363724527602,
177,39.0,40,0.3715531101893215,
178,43.0,44,0.3694806003330157,
179,42.0,43,0.36741965086198647,
180,32.0,33,0.3653701972928214,45.4
181,31.0,32,0.3633321755017942,
182,46.0,47,0.3613055217228585,
183,37.0,38,0.35929017254565265,
184,69.0,70,0.3572860649135156,
185,32.0,33,0.3552931361215142,
186,33.0,34,0.35331132381448105,
187,36.0,37,0.35134056598506375,
188,33.0,34,0.34938080097178453,
189,41.0,42,0.34743196745711125,
190,43.0,44,0.3454940044655387,37.9
191,80.0,81,0.34356685136168086,
192,39.0,40,0.3416504478483737,
193,33.0,34,0.3397447339647885,
194,29.0,30,0.33784965008455603,
