episode,reward,length,epsilon,eval_reward
1,21.0,22,0.995,
2,17.0,18,0.990025,
3,22.0,23,0.985074875,
4,23.0,24,0.9801495006250001,
5,20.0,21,0.9752487531218751,
6,25.0,26,0.9703725093562657,
7,13.0,14,0.9655206468094844,
8,14.0,15,0.960693043575437,
9,20.0,21,0.9558895783575597,
10,22.0,23,0.9511101304657719,15.5
11,21.0,22,0.946354579813443,
12,20.0,21,0.9416228069143757,
13,13.0,14,0.9369146928798039,
14,19.0,20,0.9322301194154049,
15,11.0,12,0.9275689688183278,
16,18.0,19,0.9229311239742362,
17,12.0,13,0.918316468354365,
18,8.0,9,0.9137248860125932,
19,13.0,14,0.9091562615825302,
20,12.0,13,0.9046104802746175,8.3
21,16.0,17,0.9000874278732445,
22,12.0,13,0.8955869907338783,
23,9.0,10,0.8911090557802088,
24,11.0,12,0.8866535105013078,
25,22.0,23,0.8822202429488013,
26,15.0,16,0.8778091417340573,
27,16.0,17,0.8734200960253871,
28,12.0,13,0.8690529955452602,
29,11.0,12,0.8647077305675338,
30,12.0,13,0.8603841919146962,10.9
31,50.0,51,0.8560822709551227,
32,14.0,15,0.851801859600347,
33,17.0,18,0.8475428503023453,
34,13.0,14,0.8433051360508336,
35,12.0,13,0.8390886103705794,
36,24.0,25,0.8348931673187264,
37,19.0,20,0.8307187014821328,
38,20.0,21,0.8265651079747222,
39,16.0,17,0.8224322824348486,
40,32.0,33,0.8183201210226743,8.4
41,15.0,16,0.8142285204175609,
42,21.0,22,0.810157377815473,
43,15.0,16,0.8061065909263957,
44,11.0,12,0.8020760579717637,
45,15.0,16,0.798065677681905,
46,27.0,28,0.7940753492934954,
47,10.0,11,0.7901049725470279,
48,12.0,13,0.7861544476842928,
49,11.0,12,0.7822236754458713,
50,11.0,12,0.778312557068642,28.1
51,56.0,57,0.7744209942832988,
52,18.0,19,0.7705488893118823,
53,12.0,13,0.7666961448653229,
54,10.0,11,0.7628626641409962,
55,12.0,13,0.7590483508202912,
56,10.0,11,0.7552531090661897,
57,11.0,12,0.7514768435208588,
58,13.0,14,0.7477194593032545,
59,20.0,21,0.7439808620067382,
60,25.0,26,0.7402609576967045,253.6
61,19.0,20,0.736559652908221,
62,13.0,14,0.7328768546436799,
63,23.0,24,0.7292124703704616,
64,30.0,31,0.7255664080186093,
65,10.0,11,0.7219385759785162,
66,8.0,9,0.7183288830986236,
67,13.0,14,0.7147372386831305,
68,11.0,12,0.7111635524897149,
69,22.0,23,0.7076077347272662,
70,12.0,13,0.7040696960536299,53.3
71,20.0,21,0.7005493475733617,
72,12.0,13,0.697046600835495,
73,12.0,13,0.6935613678313175,
74,8.0,9,0.6900935609921609,
75,14.0,15,0.6866430931872001,
76,14.0,15,0.6832098777212641,
77,27.0,28,0.6797938283326578,
78,10.0,11,0.6763948591909945,
79,17.0,18,0.6730128848950395,
80,12.0,13,0.6696478204705644,64.7
81,20.0,21,0.6662995813682115,
82,15.0,16,0.6629680834613705,
83,9.0,10,0.6596532430440636,
84,40.0,41,0.6563549768288433,
85,16.0,17,0.653073201944699,
86,12.0,13,0.6498078359349755,
87,13.0,14,0.6465587967553006,
88,19.0,20,0.6433260027715241,
89,21.0,22,0.6401093727576664,
90,14.0,15,0.6369088258938781,29.6
91,11.0,12,0.6337242817644086,
92,18.0,19,0.6305556603555866,
93,37.0,38,0.6274028820538087,
94,30.0,31,0.6242658676435396,
95,14.0,15,0.6211445383053219,
96,58.0,59,0.6180388156137953,
97,19.0,20,0.6149486215357263,
98,10.0,11,0.6118738784280476,
99,9.0,10,0.6088145090359074,
100,13.0,14,0.6057704364907278,29.8
101,36.0,37,0.6027415843082742,
102,14.0,15,0.5997278763867329,
103,11.0,12,0.5967292370047992,
104,17.0,18,0.5937455908197752,
105,9.0,10,0.5907768628656763,
106,12.0,13,0.5878229785513479,
107,16.0,17,0.5848838636585911,
108,10.0,11,0.5819594443402982,
109,15.0,16,0.5790496471185967,
110,9.0,10,0.5761543988830038,114.2
111,12.0,13,0.5732736268885887,
112,12.0,13,0.5704072587541458,
113,17.0,18,0.567555222460375,
114,9.0,10,0.5647174463480732,
115,12.0,13,0.5618938591163328,
116,19.0,20,0.5590843898207511,
117,14.0,15,0.5562889678716474,
118,17.0,18,0.5535075230322891,
119,10.0,11,0.5507399854171277,
120,19.0,20,0.547986285490042,158.8
121,21.0,22,0.5452463540625918,
122,13.0,14,0.5425201222922789,
123,46.0,47,0.5398075216808175,
124,10.0,11,0.5371084840724134,
125,12.0,13,0.5344229416520513,
126,39.0,40,0.531750826943791,
127,12.0,13,0.5290920728090721,
128,44.0,45,0.5264466124450268,
129,20.0,21,0.5238143793828016,
130,18.0,19,0.5211953074858876,126.1
131,68.0,69,0.5185893309484582,
132,44.0,45,0.5159963842937159,
133,17.0,18,0.5134164023722473,
134,14.0,15,0.510849320360386,
135,27.0,28,0.5082950737585841,
136,12.0,13,0.5057535983897912,
137,9.0,10,0.5032248303978422,
138,60.0,61,0.500708706245853,
139,24.0,25,0.4982051627146237,
140,43.0,44,0.49571413690105054,216.0
141,32.0,33,0.4932355662165453,
142,20.0,21,0.4907693883854626,
143,46.0,47,0.4883155414435353,
144,19.0,20,0.4858739637363176,
145,65.0,66,0.483444593917636,
146,15.0,16,0.4810273709480478,
147,60.0,61,0.47862223409330756,
148,12.0,13,0.47622912292284103,
149,36.0,37,0.4738479773082268,
150,13.0,14,0.47147873742168567,155.2
