episode,reward,length,epsilon,eval_reward
1,12.0,13,0.9931364615391507,
2,21.0,22,0.986320031238505,
3,13.0,14,0.9795503857693935,
4,32.0,33,0.9728272040223255,
5,21.0,22,0.9661501670917577,
6,10.0,11,0.9595189582609674,
7,18.0,19,0.9529332629870292,
8,11.0,12,0.9463927688858951,
9,10.0,11,0.9398971657175771,
10,18.0,19,0.9334461453714312,23.8
11,37.0,38,0.9270394018515429,
12,10.0,11,0.9206766312622121,
13,13.0,14,0.9143575317935387,
14,18.0,19,0.9080818037071066,
15,11.0,12,0.9018491493217654,
16,17.0,18,0.8956592729995112,
17,14.0,15,0.8895118811314627,
18,17.0,18,0.8834066821239345,
19,22.0,23,0.8773433863846055,
20,21.0,22,0.871321706308783,15.1
21,10.0,11,0.8653413562657598,
22,17.0,18,0.8594020525852663,
23,59.0,60,0.8535035135440144,
24,44.0,45,0.847645459352335,
25,20.0,21,0.841827612140906,
26,27.0,28,0.836049695947572,
27,39.0,40,0.8303114367042544,
28,16.0,17,0.8246125622239517,
29,11.0,12,0.8189528021878282,
30,46.0,47,0.8133318881323917,11.8
31,27.0,28,0.8077495534367598,
32,9.0,10,0.8022055333100128,
33,22.0,23,0.7966995647786334,
34,14.0,15,0.7912313866740333,
35,8.0,9,0.785800739620165,
36,18.0,19,0.7804073660212181,
37,11.0,12,0.7750510100494014,
38,32.0,33,0.7697314176328072,
39,18.0,19,0.7644483364433603,
40,35.0,36,0.7592015158848491,8.7
41,12.0,13,0.7539907070810383,
42,8.0,9,0.7488156628638647,
43,14.0,15,0.7436761377617122,
44,23.0,24,0.7385718879877687,
45,18.0,19,0.7335026714284626,
46,40.0,41,0.7284682476319776,
47,26.0,27,0.723468377796848,
48,17.0,18,0.7185028247606311,
49,12.0,13,0.7135713529886576,
50,14.0,15,0.7086737285628597,12.2
51,16.0,17,0.703809719170675,
52,28.0,29,0.6989790940940276,
53,31.0,32,0.6941816241983836,
54,9.0,10,0.6894170819218831,
55,24.0,25,0.6846852412645458,
56,11.0,12,0.6799858777775507,
57,19.0,20,0.6753187685525901,
58,26.0,27,0.670683692211296,
59,20.0,21,0.6660804288947393,
60,17.0,18,0.6615087602530012,17.5
61,44.0,45,0.656968469434816,
62,22.0,23,0.6524593410772849,
63,14.0,15,0.6479811612956605,
64,28.0,29,0.643533717673202,
65,38.0,39,0.6391167992510987,
66,16.0,17,0.6347301965184639,
67,22.0,23,0.6303737014023969,
68,14.0,15,0.6260471072581136,
69,14.0,15,0.6217502088591441,
70,36.0,37,0.6174828023875983,24.9
71,22.0,23,0.6132446854244981,
72,17.0,18,0.6090356569401756,
73,26.0,27,0.6048555172847381,
74,28.0,29,0.6007040681785973,
75,36.0,37,0.5965811127030649,
76,25.0,26,0.5924864552910112,
77,33.0,34,0.5884199017175891,
78,17.0,18,0.5843812590910212,
79,21.0,22,0.5803703358434504,
80,15.0,16,0.5763869417218529,34.7
81,21.0,22,0.5724308877790136,
82,14.0,15,0.5685019863645643,
83,22.0,23,0.5646000511160819,
84,47.0,48,0.5607248969502492,
85,26.0,27,0.5568763400540754,
86,28.0,29,0.5530541978761773,
87,75.0,76,0.5492582891181199,
88,49.0,50,0.5454884337258175,
89,17.0,18,0.5417444528809918,
90,82.0,83,0.5380261689926914,186.3
91,12.0,13,0.5343334056888667,
92,49.0,50,0.5306659878080046,
93,21.0,22,0.5270237413908198,
94,228.0,229,0.5234064936720032,
95,20.0,21,0.5198140730720271,
96,74.0,75,0.5162463091890065,
97,8.0,9,0.5127030327906162,
98,29.0,30,0.5091840758060637,
99,63.0,64,0.5056892713181168,
100,242.0,243,0.502218453555186,132.3
101,24.0,25,0.4987714578834617,
102,33.0,34,0.49534812079910473,
103,74.0,75,0.49194827992049067,
104,15.0,16,0.4885717739805077,
105,12.0,13,0.48521844281890714,
106,15.0,16,0.48188812737470615,
107,60.0,61,0.4785806696786432,
108,115.0,116,0.47529591284568484,
109,164.0,165,0.472033701067584,
110,161.0,162,0.4687938796054896,338.2
111,160.0,161,0.4655762947826066,
112,145.0,146,0.46238079397690646,
113,28.0,29,0.45920722561388794,
114,109.0,110,0.4560554391593871,
115,186.0,187,0.4529252851124371,
116,40.0,41,0.44981661499817677,
117,28.0,29,0.44672928136080775,
118,107.0,108,0.44366313775660027,
119,92.0,93,0.44061803874694677,
120,191.0,192,0.4375938398914631,150.7
121,199.0,200,0.43459039774113734,
122,25.0,26,0.43160756983152526,
123,148.0,149,0.42864521467599287,
124,122.0,123,0.4257031917590052,
125,183.0,184,0.42278136152946094,
126,150.0,151,0.4198795853940733,
127,109.0,110,0.4169977257107956,
128,125.0,126,0.41413564578229284,
129,137.0,138,0.4112932098494574,
130,104.0,105,0.40847028308496947,125.0
131,122.0,123,0.40566673158690175,
132,86.0,87,0.40288242237236804,
133,120.0,121,0.40011722337121514,
134,114.0,115,0.39737100341975856,
135,79.0,80,0.3946436322545608,
136,135.0,136,0.39193498050625236,
137,88.0,89,0.3892449196933955,
138,142.0,143,0.3865733222163897,
139,150.0,151,0.3839200613514192,
140,52.0,53,0.38128501124444214,178.2
141,176.0,177,0.37866804690522055,
142,160.0,161,0.37606904420139187,
143,64.0,65,0.37348787985258075,
144,150.0,151,0.3709244314245515,
145,162.0,163,0.36837857732340046,
146,21.0,22,0.36585019678978836,
147,50.0,51,0.36333916989321235,
148,98.0,99,0.36084537752631723,
149,122.0,123,0.35836870139924565,
150,35.0,36,0.3559090240340273,145.6
151,181.0,182,0.3534662287590064,
152,166.0,167,0.35104019970330763,
153,206.0,207,0.34863082179133975,
154,118.0,119,0.3462379807373374,
155,151.0,152,0.3438615630399399,
156,77.0,78,0.34150145597680753,
157,174.0,175,0.3391575475992747,
158,258.0,259,0.33682972672703976,
159,154.0,155,0.33451788294289136,
160,211.0,212,0.3322219065874709,296.7
161,288.0,289,0.32994168875407115,
162,500.0,500,0.32767712128347,
163,50.0,51,0.3254280967588005,
164,500.0,500,0.3231945085004555,
165,249.0,250,0.32097625056102735,
166,27.0,28,0.31877321772028255,
167,332.0,333,0.3165853054801707,
168,280.0,281,0.31441241005986786,
169,345.0,346,0.31225442839085366,
170,313.0,314,0.3101112581120225,259.2
171,500.0,500,0.30798279756482827,
172,271.0,272,0.30586894578846213,
173,161.0,162,0.3037696025150636,
174,118.0,119,0.30168466816496453,
175,500.0,500,0.2996140438419657,
176,278.0,279,0.2975576313286458,
177,337.0,338,0.29551533308170247,
178,204.0,205,0.2934870522273255,
179,138.0,139,0.29147269255660196,
180,186.0,187,0.2894721585209524,197.8
181,122.0,123,0.2874853552275988,
182,216.0,217,0.28551218843506326,
183,167.0,168,0.2835525645486979,
184,172.0,173,0.2816063906162455,
185,171.0,172,0.27967357432342993,
186,123.0,124,0.2777540239895779,
187,134.0,135,0.27584764856326977,
188,103.0,104,0.2739543576180209,
189,159.0,160,0.27207406134799234,
190,98.0,99,0.27020667056373093,141.4
191,115.0,116,0.26835209668793875,
192,109.0,110,0.2665102517512715,
193,183.0,184,0.26468104838816603,
194,104.0,105,0.26286439983269594,
195,103.0,104,0.26106021991445616,
196,115.0,116,0.2592684230544755,
197,127.0,128,0.2574889242611574,
198,130.0,131,0.25572163912624823,
199,131.0,132,0.2539664838208338,
200,120.0,121,0.25222337509136283,113.3
201,126.0,127,0.25049223025569806,
202,117.0,118,0.24877296719919414,
203,118.0,119,0.24706550437080288,
204,138.0,139,0.24536976077920475,
205,122.0,123,0.24368565598896727,
206,138.0,139,0.2420131101167297,
207,152.0,153,0.2403520438274138,
208,130.0,131,0.2387023783304606,
209,138.0,139,0.23706403537609327,
210,122.0,123,0.2354369372516053,138.9
211,137.0,138,0.23382100677767434,
212,137.0,138,0.23221616730470127,
213,165.0,166,0.23062234270917442,
214,138.0,139,0.22903945739005882,
215,66.0,67,0.2274674362652101,
216,120.0,121,0.22590620476781303,
217,71.0,72,0.22435568884284465,
218,8.0,9,0.22281581494356145,
219,141.0,142,0.22128651002801084,
220,66.0,67,0.21976770155556646,119.1
221,40.0,41,0.21825931748348737,
222,174.0,175,0.21676128626350075,
223,62.0,63,0.21527353683840805,
224,500.0,500,0.21379599863871457,
225,235.0,236,0.21232860157928207,
226,267.0,268,0.2108712760560043,
227,77.0,78,0.20942395294250554,
228,224.0,225,0.20798656358686157,
229,134.0,135,0.20655903980834328,
230,154.0,155,0.2051413138941826,148.4
231,184.0,185,0.20373331859636074,
232,144.0,145,0.20233498712841816,
233,158.0,159,0.20094625316228681,
234,155.0,156,0.1995670508251439,
235,214.0,215,0.19819731469628726,
236,186.0,187,0.19683697980403225,
237,140.0,141,0.19548598162262987,
238,158.0,159,0.19414425606920607,
239,156.0,157,0.1928117395007221,
240,133.0,134,0.19148836871095565,164.3
241,152.0,153,0.1901740809275027,
242,151.0,152,0.18886881380880013,
243,132.0,133,0.18757250544116844,
244,126.0,127,0.18628509433587512,
245,123.0,124,0.1850065194262179,
246,136.0,137,0.18373672006462818,
247,130.0,131,0.1824756360197943,
248,133.0,134,0.1812232074738045,
249,117.0,118,0.17997937501930955,
250,112.0,113,0.1787440796567049,148.4
251,112.0,113,0.177517262791332,
252,116.0,117,0.17629886623069901,
253,121.0,122,0.17508883218172047,
254,42.0,43,0.17388710324797604,
255,48.0,49,0.17269362242698788,
256,43.0,44,0.17150833310751687,
257,81.0,82,0.17033117906687728,
258,22.0,23,0.16916210446826996,
259,43.0,44,0.16800105385813377,
260,106.0,107,0.16684797216351524,111.7
261,107.0,108,0.16570280468945625,
262,120.0,121,0.16456549711639956,
263,122.0,123,0.16343599549761237,
264,175.0,176,0.16231424625662733,
265,235.0,236,0.1612001961847012,
266,213.0,214,0.16009379243829103,
267,155.0,156,0.1589949825365476,
268,165.0,166,0.15790371435882594,
269,141.0,142,0.15681993614221318,
270,137.0,138,0.15574359647907315,117.9
271,123.0,124,0.15467464431460803,
