episode,reward,length,epsilon,eval_reward
1,34.0,35,0.995,
2,20.0,21,0.990025,
3,12.0,13,0.985074875,
4,13.0,14,0.9801495006250001,
5,8.0,9,0.9752487531218751,
6,17.0,18,0.9703725093562657,
7,26.0,27,0.9655206468094844,
8,15.0,16,0.960693043575437,
9,17.0,18,0.9558895783575597,
10,24.0,25,0.9511101304657719,8.1
11,38.0,39,0.946354579813443,
12,16.0,17,0.9416228069143757,
13,19.0,20,0.9369146928798039,
14,28.0,29,0.9322301194154049,
15,21.0,22,0.9275689688183278,
16,21.0,22,0.9229311239742362,
17,17.0,18,0.918316468354365,
18,7.0,8,0.9137248860125932,
19,60.0,61,0.9091562615825302,
20,28.0,29,0.9046104802746175,13.5
21,16.0,17,0.9000874278732445,
22,9.0,10,0.8955869907338783,
23,9.0,10,0.8911090557802088,
24,9.0,10,0.8866535105013078,
25,28.0,29,0.8822202429488013,
26,27.0,28,0.8778091417340573,
27,24.0,25,0.8734200960253871,
28,10.0,11,0.8690529955452602,
29,15.0,16,0.8647077305675338,
30,16.0,17,0.8603841919146962,7.9
31,13.0,14,0.8560822709551227,
32,9.0,10,0.851801859600347,
33,26.0,27,0.8475428503023453,
34,11.0,12,0.8433051360508336,
35,23.0,24,0.8390886103705794,
36,18.0,19,0.8348931673187264,
37,15.0,16,0.8307187014821328,
38,11.0,12,0.8265651079747222,
39,12.0,13,0.8224322824348486,
40,21.0,22,0.8183201210226743,8.3
41,11.0,12,0.8142285204175609,
42,8.0,9,0.810157377815473,
43,21.0,22,0.8061065909263957,
44,13.0,14,0.8020760579717637,
45,15.0,16,0.798065677681905,
46,14.0,15,0.7940753492934954,
47,12.0,13,0.7901049725470279,
48,9.0,10,0.7861544476842928,
49,30.0,31,0.7822236754458713,
50,15.0,16,0.778312557068642,8.3
51,12.0,13,0.7744209942832988,
52,17.0,18,0.7705488893118823,
53,27.0,28,0.7666961448653229,
54,23.0,24,0.7628626641409962,
55,63.0,64,0.7590483508202912,
56,38.0,39,0.7552531090661897,
57,42.0,43,0.7514768435208588,
58,9.0,10,0.7477194593032545,
59,17.0,18,0.7439808620067382,
60,60.0,61,0.7402609576967045,9.9
61,8.0,9,0.736559652908221,
62,9.0,10,0.7328768546436799,
63,10.0,11,0.7292124703704616,
64,14.0,15,0.7255664080186093,
65,21.0,22,0.7219385759785162,
66,13.0,14,0.7183288830986236,
67,27.0,28,0.7147372386831305,
68,14.0,15,0.7111635524897149,
69,14.0,15,0.7076077347272662,
70,15.0,16,0.7040696960536299,14.9
71,17.0,18,0.7005493475733617,
72,11.0,12,0.697046600835495,
73,10.0,11,0.6935613678313175,
