episode,reward,length,epsilon,lr,eval_reward
1,13.0,14,1.0,0.03,
2,13.0,14,0.9723135354106631,0.03,
3,42.0,43,0.9453936111427829,0.03,
4,50.0,51,0.9192190044048929,0.03,
5,19.0,20,0.8937690799895913,0.03,
6,8.0,9,0.8690237740054153,0.03,
7,42.0,43,0.8449635780591225,0.03,
8,8.0,9,0.8215695238759092,0.03,
9,26.0,27,0.7988231683454405,0.03,
10,24.0,25,0.7767065789819027,0.03,
11,32.0,33,0.7552023197866152,0.03,
12,11.0,12,0.734293437502058,0.03,
13,12.0,13,0.7139634482464748,0.03,
14,18.0,19,0.694196324518518,0.03,
15,28.0,29,0.6749764825616882,0.03,
16,25.0,26,0.6562887700786089,0.03,
17,15.0,16,0.638118454285448,0.03,
18,160.0,161,0.6204512102970715,0.03,
19,32.0,33,0.6032731098337705,0.03,
20,117.0,118,0.5865706102406586,0.03,50.9
21,67.0,68,0.5703305438110848,0.03,
22,26.0,27,0.554540107405642,0.03,
23,62.0,63,0.5391868523585885,0.03,
24,32.0,33,0.5242586746637264,0.03,
25,72.0,73,0.5097438054319965,0.03,
26,79.0,80,0.49563080161326967,0.03,
27,58.0,59,0.48190853697501923,0.03,
28,90.0,91,0.4685661933307612,0.03,
29,34.0,35,0.4555932520113487,0.03,
30,140.0,141,0.4429794855723957,0.03,
31,132.0,133,0.4307149497312929,0.03,
32,62.0,63,0.41878997552745945,0.03,
33,22.0,23,0.4071951616996492,0.03,
34,123.0,124,0.39592136727430255,0.03,
35,107.0,108,0.3849597043591007,0.03,
36,145.0,146,0.37430153113604087,0.03,
37,47.0,48,0.3639384450485083,0.03,
38,31.0,32,0.35386227617697447,0.03,
39,167.0,168,0.3440650807980985,0.03,
40,169.0,170,0.3345391351221546,0.03,148.5
41,166.0,167,0.3252769292038477,0.03,
42,164.0,165,0.31627116102171715,0.03,
43,173.0,174,0.3075147307214609,0.03,
44,163.0,164,0.2990007350186417,0.03,
45,242.0,243,0.2907224617563624,0.03,
46,87.0,88,0.28267338461362,0.03,
47,192.0,193,0.274847157960167,0.03,
48,175.0,176,0.26723761185382294,0.03,
49,192.0,193,0.25983874717629313,0.03,
50,194.0,195,0.252644730903659,0.03,
51,160.0,161,0.24564989150781233,0.03,
52,256.0,257,0.23884871448520684,0.03,
53,162.0,163,0.23223583800940353,0.03,
54,158.0,159,0.22580604870398122,0.03,
55,116.0,117,0.21955427753248036,0.03,
56,178.0,179,0.2134755958021399,0.03,
57,142.0,143,0.20756521127827637,0.03,
58,191.0,192,0.20181846440624215,0.03,
59,103.0,104,0.19623082463798439,0.03,
60,146.0,147,0.19079788686030846,0.03,173.6
61,25.0,26,0.18551536792203022,0.03,
62,183.0,184,0.18037910325727913,0.03,
63,178.0,179,0.17538504360229012,0.03,
64,157.0,158,0.17052925180309603,0.03,
65,173.0,174,0.1658078997116035,0.03,
66,179.0,180,0.16121726516760587,0.03,
67,144.0,145,0.15675372906435323,0.03,
68,186.0,187,0.1524137724953665,0.03,
69,181.0,182,0.14819397398024628,0.03,
70,29.0,30,0.1440910067672891,0.03,
71,230.0,231,0.14010163621078464,0.03,
72,167.0,168,0.1362227172209266,0.03,
73,148.0,149,0.13245119178432616,0.03,
74,213.0,214,0.12878408655317394,0.03,
75,191.0,192,0.1252185105011494,0.03,
76,145.0,146,0.12175165264422982,0.03,
77,174.0,175,0.11838077982460211,0.03,
78,171.0,172,0.11510323455593018,0.03,
79,139.0,140,0.11191643292827928,0.03,
80,23.0,24,0.10881786257104559,0.03,82.8
81,147.0,148,0.105805080672285,0.03,
82,32.0,33,0.10287571205287985,0.03,
83,146.0,147,0.10002744729402498,0.03,
84,221.0,222,0.0972580409165572,0.03,
85,217.0,218,0.09456530961069266,0.03,
86,167.0,168,0.09194713051477654,0.03,
87,145.0,146,0.08940143954168804,0.03,
88,204.0,205,0.08692622975158135,0.03,
89,223.0,224,0.08451954976967962,0.03,
90,140.0,141,0.0821795022478747,0.03,
91,158.0,159,0.07990424236891958,0.03,
92,205.0,206,0.07769197639203469,0.03,
93,210.0,211,0.07554096023878103,0.03,
94,169.0,170,0.07344949811808552,0.03,
95,185.0,186,0.07141594118933457,0.03,
96,245.0,246,0.0694386862624819,0.03,
97,262.0,263,0.06751617453414561,0.03,
98,220.0,221,0.0656468903586985,0.03,
99,156.0,157,0.06382936005338231,0.03,
100,157.0,158,0.06206215073650431,0.03,171.7
101,194.0,195,0.0603438691978,0.03,
102,217.0,218,0.05867316080007153,0.03,
103,309.0,310,0.05704870841123588,0.03,
104,144.0,145,0.05546923136594079,0.03,
105,225.0,226,0.053933484455929936,0.03,
106,138.0,139,0.05244025694836128,0.03,
107,158.0,159,0.05098837163130475,0.03,
108,198.0,199,0.04957668388566668,0.03,
109,176.0,177,0.048204080782809425,0.03,
110,176.0,177,0.04686948020715464,0.03,
111,199.0,200,0.04557183000307863,0.03,
112,167.0,168,0.04431010714542711,0.03,
113,142.0,143,0.04308331693299552,0.03,
114,171.0,172,0.04189049220433896,0.03,
115,185.0,186,0.04073069257529363,0.03,
116,143.0,144,0.0396030036976086,0.03,
117,195.0,196,0.03850653653810338,0.03,
118,147.0,148,0.037440426677783176,0.03,
119,150.0,151,0.03640383363035907,0.03,
120,251.0,252,0.03539594017963602,0.03,193.7
121,149.0,150,0.034415951735246246,0.03,
122,197.0,198,0.033463095706220025,0.03,
123,171.0,172,0.032536620891900174,0.03,
124,214.0,215,0.0316357968897199,0.03,
125,174.0,175,0.030759913519377218,0.03,
126,219.0,220,0.029908280262951916,0.03,
127,168.0,169,0.029080225720523736,0.03,
