episode,reward,length,avg_q,eval_reward
1,20.0,21,1.0,
2,15.0,16,0.995,
3,73.0,74,0.990025,
4,14.0,15,0.985074875,
5,23.0,24,0.9801495006250001,
6,25.0,26,0.9752487531218751,
7,18.0,19,0.9703725093562657,
8,37.0,38,0.9655206468094844,
9,11.0,12,0.960693043575437,
10,43.0,44,0.9558895783575597,
11,25.0,26,0.9511101304657719,
12,16.0,17,0.946354579813443,
13,15.0,16,0.9416228069143757,
14,13.0,14,0.9369146928798039,
15,15.0,16,0.9322301194154049,
16,42.0,43,0.9275689688183278,
17,52.0,53,0.9229311239742362,
18,63.0,64,0.918316468354365,
19,20.0,21,0.9137248860125932,
20,15.0,16,0.9091562615825302,
21,9.0,10,0.9046104802746175,
22,11.0,12,0.9000874278732445,
23,9.0,10,0.8955869907338783,
24,17.0,18,0.8911090557802088,
25,53.0,54,0.8866535105013078,
26,14.0,15,0.8822202429488013,
27,18.0,19,0.8778091417340573,
28,10.0,11,0.8734200960253871,
29,25.0,26,0.8690529955452602,
30,12.0,13,0.8647077305675338,
31,15.0,16,0.8603841919146962,
32,24.0,25,0.8560822709551227,
33,15.0,16,0.851801859600347,
34,18.0,19,0.8475428503023453,
35,24.0,25,0.8433051360508336,
36,17.0,18,0.8390886103705794,
37,23.0,24,0.8348931673187264,
38,15.0,16,0.8307187014821328,
39,10.0,11,0.8265651079747222,
40,21.0,22,0.8224322824348486,
41,16.0,17,0.8183201210226743,
42,14.0,15,0.8142285204175609,
43,80.0,81,0.810157377815473,
44,17.0,18,0.8061065909263957,
45,99.0,100,0.8020760579717637,
46,36.0,37,0.798065677681905,
47,27.0,28,0.7940753492934954,
48,22.0,23,0.7901049725470279,
49,91.0,92,0.7861544476842928,
50,16.0,17,0.7822236754458713,
51,13.0,14,0.778312557068642,
52,27.0,28,0.7744209942832988,
53,43.0,44,0.7705488893118823,
54,82.0,83,0.7666961448653229,
55,29.0,30,0.7628626641409962,
56,14.0,15,0.7590483508202912,
57,25.0,26,0.7552531090661897,
58,34.0,35,0.7514768435208588,
59,21.0,22,0.7477194593032545,
60,19.0,20,0.7439808620067382,
61,64.0,65,0.7402609576967045,
62,9.0,10,0.736559652908221,
63,12.0,13,0.7328768546436799,
64,33.0,34,0.7292124703704616,
65,21.0,22,0.7255664080186093,
66,15.0,16,0.7219385759785162,
67,27.0,28,0.7183288830986236,
68,24.0,25,0.7147372386831305,
69,64.0,65,0.7111635524897149,
70,9.0,10,0.7076077347272662,
71,49.0,50,0.7040696960536299,
72,39.0,40,0.7005493475733617,
73,65.0,66,0.697046600835495,
74,13.0,14,0.6935613678313175,
75,10.0,11,0.6900935609921609,
76,9.0,10,0.6866430931872001,
77,31.0,32,0.6832098777212641,
78,33.0,34,0.6797938283326578,
79,73.0,74,0.6763948591909945,
80,42.0,43,0.6730128848950395,
81,16.0,17,0.6696478204705644,
82,30.0,31,0.6662995813682115,
83,27.0,28,0.6629680834613705,
84,26.0,27,0.6596532430440636,
85,26.0,27,0.6563549768288433,
86,58.0,59,0.653073201944699,
87,19.0,20,0.6498078359349755,
88,19.0,20,0.6465587967553006,
89,28.0,29,0.6433260027715241,
90,11.0,12,0.6401093727576664,
91,18.0,19,0.6369088258938781,
92,38.0,39,0.6337242817644086,
93,94.0,95,0.6305556603555866,
94,18.0,19,0.6274028820538087,
