episode,reward,length,epsilon,eval_reward
1,9.0,10,1.0,
2,17.0,18,0.995,
3,21.0,22,0.990025,
4,12.0,13,0.985074875,
5,22.0,23,0.9801495006250001,
6,59.0,60,0.9752487531218751,
7,15.0,16,0.9703725093562657,
8,14.0,15,0.9655206468094844,
9,20.0,21,0.960693043575437,
10,12.0,13,0.9558895783575597,
11,13.0,14,0.9511101304657719,
12,25.0,26,0.946354579813443,
13,8.0,9,0.9416228069143757,
14,16.0,17,0.9369146928798039,
15,12.0,13,0.9322301194154049,
16,35.0,36,0.9275689688183278,
17,32.0,33,0.9229311239742362,
18,10.0,11,0.918316468354365,
19,30.0,31,0.9137248860125932,
20,14.0,15,0.9091562615825302,20.0
21,38.0,39,0.9046104802746175,
22,28.0,29,0.9000874278732445,
23,52.0,53,0.8955869907338783,
24,27.0,28,0.8911090557802088,
25,25.0,26,0.8866535105013078,
26,50.0,51,0.8822202429488013,
27,12.0,13,0.8778091417340573,
28,9.0,10,0.8734200960253871,
29,31.0,32,0.8690529955452602,
30,31.0,32,0.8647077305675338,
31,10.0,11,0.8603841919146962,
32,12.0,13,0.8560822709551227,
33,20.0,21,0.851801859600347,
34,27.0,28,0.8475428503023453,
35,21.0,22,0.8433051360508336,
36,10.0,11,0.8390886103705794,
37,10.0,11,0.8348931673187264,
38,11.0,12,0.8307187014821328,
39,18.0,19,0.8265651079747222,
40,9.0,10,0.8224322824348486,17.8
41,66.0,67,0.8183201210226743,
42,20.0,21,0.8142285204175609,
43,13.0,14,0.810157377815473,
44,15.0,16,0.8061065909263957,
45,18.0,19,0.8020760579717637,
46,48.0,49,0.798065677681905,
47,16.0,17,0.7940753492934954,
48,9.0,10,0.7901049725470279,
49,18.0,19,0.7861544476842928,
50,22.0,23,0.7822236754458713,
51,46.0,47,0.778312557068642,
52,17.0,18,0.7744209942832988,
53,21.0,22,0.7705488893118823,
54,12.0,13,0.7666961448653229,
55,13.0,14,0.7628626641409962,
56,53.0,54,0.7590483508202912,
57,31.0,32,0.7552531090661897,
58,18.0,19,0.7514768435208588,
59,28.0,29,0.7477194593032545,
60,10.0,11,0.7439808620067382,19.5
61,15.0,16,0.7402609576967045,
62,40.0,41,0.736559652908221,
63,12.0,13,0.7328768546436799,
64,11.0,12,0.7292124703704616,
65,17.0,18,0.7255664080186093,
66,14.0,15,0.7219385759785162,
67,25.0,26,0.7183288830986236,
68,16.0,17,0.7147372386831305,
69,10.0,11,0.7111635524897149,
70,22.0,23,0.7076077347272662,
71,22.0,23,0.7040696960536299,
72,60.0,61,0.7005493475733617,
73,56.0,57,0.697046600835495,
74,13.0,14,0.6935613678313175,
75,24.0,25,0.6900935609921609,
76,14.0,15,0.6866430931872001,
77,16.0,17,0.6832098777212641,
78,18.0,19,0.6797938283326578,
79,21.0,22,0.6763948591909945,
80,27.0,28,0.6730128848950395,18.9
81,30.0,31,0.6696478204705644,
82,20.0,21,0.6662995813682115,
83,11.0,12,0.6629680834613705,
84,25.0,26,0.6596532430440636,
85,15.0,16,0.6563549768288433,
86,9.0,10,0.653073201944699,
87,40.0,41,0.6498078359349755,
88,121.0,122,0.6465587967553006,
89,10.0,11,0.6433260027715241,
90,12.0,13,0.6401093727576664,
91,11.0,12,0.6369088258938781,
92,45.0,46,0.6337242817644086,
93,15.0,16,0.6305556603555866,
94,40.0,41,0.6274028820538087,
95,11.0,12,0.6242658676435396,
96,12.0,13,0.6211445383053219,
97,20.0,21,0.6180388156137953,
98,21.0,22,0.6149486215357263,
99,13.0,14,0.6118738784280476,
100,83.0,84,0.6088145090359074,22.2
101,27.0,28,0.6057704364907278,
102,20.0,21,0.6027415843082742,
103,31.0,32,0.5997278763867329,
104,37.0,38,0.5967292370047992,
105,38.0,39,0.5937455908197752,
106,12.0,13,0.5907768628656763,
107,17.0,18,0.5878229785513479,
108,15.0,16,0.5848838636585911,
109,22.0,23,0.5819594443402982,
110,10.0,11,0.5790496471185967,
111,21.0,22,0.5761543988830038,
112,96.0,97,0.5732736268885887,
113,13.0,14,0.5704072587541458,
114,31.0,32,0.567555222460375,
115,26.0,27,0.5647174463480732,
116,9.0,10,0.5618938591163328,
117,24.0,25,0.5590843898207511,
118,17.0,18,0.5562889678716474,
119,58.0,59,0.5535075230322891,
120,30.0,31,0.5507399854171277,30.7
121,57.0,58,0.547986285490042,
122,24.0,25,0.5452463540625918,
123,31.0,32,0.5425201222922789,
124,19.0,20,0.5398075216808175,
125,18.0,19,0.5371084840724134,
126,54.0,55,0.5344229416520513,
127,14.0,15,0.531750826943791,
128,16.0,17,0.5290920728090721,
129,13.0,14,0.5264466124450268,
130,10.0,11,0.5238143793828016,
131,13.0,14,0.5211953074858876,
132,20.0,21,0.5185893309484582,
133,26.0,27,0.5159963842937159,
134,20.0,21,0.5134164023722473,
135,36.0,37,0.510849320360386,
136,61.0,62,0.5082950737585841,
137,22.0,23,0.5057535983897912,
138,16.0,17,0.5032248303978422,
139,31.0,32,0.500708706245853,
140,11.0,12,0.4982051627146237,28.4
141,26.0,27,0.49571413690105054,
142,20.0,21,0.4932355662165453,
143,82.0,83,0.4907693883854626,
144,20.0,21,0.4883155414435353,
145,11.0,12,0.4858739637363176,
146,24.0,25,0.483444593917636,
147,37.0,38,0.4810273709480478,
148,19.0,20,0.47862223409330756,
149,16.0,17,0.47622912292284103,
150,13.0,14,0.4738479773082268,
151,50.0,51,0.47147873742168567,
152,23.0,24,0.46912134373457726,
153,17.0,18,0.46677573701590436,
154,18.0,19,0.46444185833082485,
155,29.0,30,0.46211964903917074,
156,12.0,13,0.4598090507939749,
157,96.0,97,0.457510005540005,
158,44.0,45,0.45522245551230495,
159,12.0,13,0.4529463432347434,
160,14.0,15,0.4506816115185697,25.7
161,26.0,27,0.4484282034609769,
162,14.0,15,0.446186062443672,
163,29.0,30,0.4439551321314536,
164,31.0,32,0.4417353564707963,
165,18.0,19,0.43952667968844233,
166,44.0,45,0.43732904629000013,
167,70.0,71,0.4351424010585501,
168,70.0,71,0.43296668905325736,
169,30.0,31,0.43080185560799106,
170,19.0,20,0.4286478463299511,
171,34.0,35,0.42650460709830135,
172,27.0,28,0.42437208406280985,
173,79.0,80,0.4222502236424958,
174,16.0,17,0.42013897252428334,
175,10.0,11,0.4180382776616619,
176,111.0,112,0.4159480862733536,
177,34.0,35,0.41386834584198684,
178,80.0,81,0.4117990041127769,
179,29.0,30,0.40974000909221303,
180,20.0,21,0.40769130904675194,28.8
181,34.0,35,0.40565285250151817,
182,87.0,88,0.4036245882390106,
