episode,reward,length,epsilon,lr,eval_reward
1,27.0,28,1.0,0.001,
2,17.0,18,0.995,0.001,
3,14.0,15,0.990025,0.001,
4,15.0,16,0.985074875,0.001,
5,15.0,16,0.9801495006250001,0.001,
6,29.0,30,0.9752487531218751,0.001,
7,61.0,62,0.9703725093562657,0.001,
8,29.0,30,0.9655206468094844,0.001,
9,24.0,25,0.960693043575437,0.001,
10,18.0,19,0.9558895783575597,0.001,
11,19.0,20,0.9511101304657719,0.001,
12,11.0,12,0.946354579813443,0.001,
13,29.0,30,0.9416228069143757,0.001,
14,16.0,17,0.9369146928798039,0.001,
15,39.0,40,0.9322301194154049,0.001,
16,18.0,19,0.9275689688183278,0.001,
17,18.0,19,0.9229311239742362,0.001,
18,10.0,11,0.918316468354365,0.001,
19,12.0,13,0.9137248860125932,0.001,
20,11.0,12,0.9091562615825302,0.001,18.9
21,11.0,12,0.9046104802746175,0.001,
22,15.0,16,0.9000874278732445,0.001,
23,20.0,21,0.8955869907338783,0.001,
24,31.0,32,0.8911090557802088,0.001,
25,26.0,27,0.8866535105013078,0.001,
26,21.0,22,0.8822202429488013,0.001,
27,13.0,14,0.8778091417340573,0.001,
28,15.0,16,0.8734200960253871,0.001,
29,23.0,24,0.8690529955452602,0.001,
30,17.0,18,0.8647077305675338,0.001,
31,29.0,30,0.8603841919146962,0.001,
32,52.0,53,0.8560822709551227,0.001,
33,17.0,18,0.851801859600347,0.001,
34,77.0,78,0.8475428503023453,0.001,
35,50.0,51,0.8433051360508336,0.001,
36,15.0,16,0.8390886103705794,0.001,
37,23.0,24,0.8348931673187264,0.001,
38,24.0,25,0.8307187014821328,0.001,
39,21.0,22,0.8265651079747222,0.001,
40,20.0,21,0.8224322824348486,0.001,27.9
41,28.0,29,0.8183201210226743,0.001,
42,32.0,33,0.8142285204175609,0.001,
43,53.0,54,0.810157377815473,0.001,
44,26.0,27,0.8061065909263957,0.001,
45,47.0,48,0.8020760579717637,0.001,
46,27.0,28,0.798065677681905,0.001,
47,14.0,15,0.7940753492934954,0.001,
48,15.0,16,0.7901049725470279,0.001,
49,21.0,22,0.7861544476842928,0.001,
50,11.0,12,0.7822236754458713,0.001,
51,19.0,20,0.778312557068642,0.001,
52,40.0,41,0.7744209942832988,0.001,
53,20.0,21,0.7705488893118823,0.001,
54,69.0,70,0.7666961448653229,0.001,
55,15.0,16,0.7628626641409962,0.001,
56,32.0,33,0.7590483508202912,0.001,
57,28.0,29,0.7552531090661897,0.001,
58,23.0,24,0.7514768435208588,0.001,
59,9.0,10,0.7477194593032545,0.001,
60,51.0,52,0.7439808620067382,0.001,23.0
61,52.0,53,0.7402609576967045,0.001,
62,38.0,39,0.736559652908221,0.001,
63,9.0,10,0.7328768546436799,0.001,
64,9.0,10,0.7292124703704616,0.001,
65,21.0,22,0.7255664080186093,0.001,
66,30.0,31,0.7219385759785162,0.001,
67,28.0,29,0.7183288830986236,0.001,
68,15.0,16,0.7147372386831305,0.001,
69,62.0,63,0.7111635524897149,0.001,
70,11.0,12,0.7076077347272662,0.001,
