episode,reward,length,epsilon,lr,eval_reward
1,57.0,58,0.999,0.1,
2,23.0,24,0.998001,0.1,
3,18.0,19,0.997002999,0.1,
4,19.0,20,0.996005996001,0.1,
5,50.0,51,0.995009990004999,0.1,
6,10.0,11,0.994014980014994,0.1,
7,41.0,42,0.993020965034979,0.1,
8,46.0,47,0.9920279440699441,0.1,
9,37.0,38,0.9910359161258742,0.1,
10,30.0,31,0.9900448802097482,0.1,
11,16.0,17,0.9890548353295385,0.1,
12,12.0,13,0.988065780494209,0.1,
13,13.0,14,0.9870777147137147,0.1,
14,16.0,17,0.986090636999001,0.1,
15,78.0,79,0.9851045463620021,0.1,
16,46.0,47,0.98411944181564,0.1,
17,74.0,75,0.9831353223738244,0.1,
18,15.0,16,0.9821521870514506,0.1,
19,24.0,25,0.9811700348643991,0.1,
20,41.0,42,0.9801888648295347,0.1,20.3
21,17.0,18,0.9792086759647052,0.1,
22,11.0,12,0.9782294672887405,0.1,
23,12.0,13,0.9772512378214517,0.1,
24,27.0,28,0.9762739865836303,0.1,
25,31.0,32,0.9752977125970467,0.1,
26,18.0,19,0.9743224148844496,0.1,
27,11.0,12,0.9733480924695651,0.1,
28,28.0,29,0.9723747443770956,0.1,
29,49.0,50,0.9714023696327185,0.1,
30,26.0,27,0.9704309672630859,0.1,
31,28.0,29,0.9694605362958227,0.1,
32,40.0,41,0.9684910757595269,0.1,
33,17.0,18,0.9675225846837673,0.1,
34,26.0,27,0.9665550620990835,0.1,
35,18.0,19,0.9655885070369844,0.1,
36,9.0,10,0.9646229185299474,0.1,
37,28.0,29,0.9636582956114175,0.1,
38,23.0,24,0.9626946373158061,0.1,
39,62.0,63,0.9617319426784903,0.1,
40,10.0,11,0.9607702107358118,0.1,25.8
41,16.0,17,0.959809440525076,0.1,
42,47.0,48,0.9588496310845509,0.1,
43,13.0,14,0.9578907814534664,0.1,
44,20.0,21,0.9569328906720129,0.1,
45,19.0,20,0.9559759577813409,0.1,
46,25.0,26,0.9550199818235596,0.1,
47,28.0,29,0.9540649618417361,0.1,
48,11.0,12,0.9531108968798944,0.1,
49,9.0,10,0.9521577859830145,0.1,
50,21.0,22,0.9512056281970315,0.1,
51,36.0,37,0.9502544225688344,0.1,
52,34.0,35,0.9493041681462656,0.1,
53,18.0,19,0.9483548639781193,0.1,
54,20.0,21,0.9474065091141411,0.1,
55,10.0,11,0.946459102605027,0.1,
56,28.0,29,0.9455126435024219,0.1,
57,70.0,71,0.9445671308589195,0.1,
58,27.0,28,0.9436225637280606,0.1,
59,18.0,19,0.9426789411643326,0.1,
60,19.0,20,0.9417362622231683,0.1,20.0
61,44.0,45,0.9407945259609451,0.1,
62,16.0,17,0.9398537314349842,0.1,
63,23.0,24,0.9389138777035492,0.1,
64,13.0,14,0.9379749638258457,0.1,
65,50.0,51,0.9370369888620198,0.1,
66,14.0,15,0.9360999518731578,0.1,
67,58.0,59,0.9351638519212846,0.1,
68,17.0,18,0.9342286880693633,0.1,
69,12.0,13,0.933294459381294,0.1,
70,13.0,14,0.9323611649219127,0.1,
71,31.0,32,0.9314288037569908,0.1,
72,45.0,46,0.9304973749532338,0.1,
73,13.0,14,0.9295668775782806,0.1,
74,15.0,16,0.9286373107007023,0.1,
75,69.0,70,0.9277086733900016,0.1,
76,15.0,16,0.9267809647166116,0.1,
77,10.0,11,0.925854183751895,0.1,
78,14.0,15,0.9249283295681431,0.1,
79,14.0,15,0.9240034012385749,0.1,
80,10.0,11,0.9230793978373364,0.1,20.0
81,10.0,11,0.9221563184394991,0.1,
82,12.0,13,0.9212341621210596,0.1,
83,15.0,16,0.9203129279589385,0.1,
84,21.0,22,0.9193926150309796,0.1,
85,61.0,62,0.9184732224159486,0.1,
86,24.0,25,0.9175547491935327,0.1,
87,16.0,17,0.9166371944443392,0.1,
88,21.0,22,0.9157205572498949,0.1,
89,19.0,20,0.914804836692645,0.1,
90,10.0,11,0.9138900318559524,0.1,
91,56.0,57,0.9129761418240965,0.1,
92,16.0,17,0.9120631656822724,0.1,
93,13.0,14,0.9111511025165902,0.1,
94,14.0,15,0.9102399514140735,0.1,
95,39.0,40,0.9093297114626595,0.1,
96,18.0,19,0.9084203817511969,0.1,
97,17.0,18,0.9075119613694457,0.1,
98,19.0,20,0.9066044494080763,0.1,
99,21.0,22,0.9056978449586682,0.1,
100,9.0,10,0.9047921471137096,0.1,23.1
101,26.0,27,0.9038873549665959,0.1,
102,48.0,49,0.9029834676116293,0.1,
103,12.0,13,0.9020804841440176,0.1,
104,10.0,11,0.9011784036598737,0.1,
105,31.0,32,0.9002772252562138,0.1,
106,37.0,38,0.8993769480309576,0.1,
107,12.0,13,0.8984775710829266,0.1,
108,10.0,11,0.8975790935118436,0.1,
109,24.0,25,0.8966815144183318,0.1,
110,38.0,39,0.8957848329039134,0.1,
111,29.0,30,0.8948890480710096,0.1,
112,42.0,43,0.8939941590229386,0.1,
113,17.0,18,0.8931001648639156,0.1,
114,21.0,22,0.8922070646990518,0.1,
115,23.0,24,0.8913148576343527,0.1,
116,26.0,27,0.8904235427767183,0.1,
117,23.0,24,0.8895331192339416,0.1,
118,27.0,28,0.8886435861147077,0.1,
119,21.0,22,0.887754942528593,0.1,
120,12.0,13,0.8868671875860644,0.1,30.5
121,22.0,23,0.8859803203984784,0.1,
122,18.0,19,0.88509434007808,0.1,
123,75.0,76,0.8842092457380019,0.1,
124,39.0,40,0.8833250364922639,0.1,
125,20.0,21,0.8824417114557717,0.1,
126,26.0,27,0.8815592697443159,0.1,
127,42.0,43,0.8806777104745716,0.1,
128,33.0,34,0.8797970327640969,0.1,
129,14.0,15,0.8789172357313328,0.1,
130,15.0,16,0.8780383184956015,0.1,
131,11.0,12,0.8771602801771059,0.1,
132,34.0,35,0.8762831198969288,0.1,
133,10.0,11,0.8754068367770318,0.1,
134,15.0,16,0.8745314299402548,0.1,
135,35.0,36,0.8736568985103146,0.1,
136,30.0,31,0.8727832416118043,0.1,
137,20.0,21,0.8719104583701925,0.1,
138,12.0,13,0.8710385479118223,0.1,
139,37.0,38,0.8701675093639105,0.1,
140,41.0,42,0.8692973418545467,0.1,25.3
141,14.0,15,0.8684280445126921,0.1,
142,30.0,31,0.8675596164681794,0.1,
143,43.0,44,0.8666920568517111,0.1,
144,14.0,15,0.8658253647948594,0.1,
145,38.0,39,0.8649595394300645,0.1,
146,15.0,16,0.8640945798906344,0.1,
147,22.0,23,0.8632304853107438,0.1,
148,21.0,22,0.862367254825433,0.1,
149,30.0,31,0.8615048875706075,0.1,
150,36.0,37,0.8606433826830369,0.1,
151,21.0,22,0.8597827393003539,0.1,
152,20.0,21,0.8589229565610536,0.1,
153,48.0,49,0.8580640336044925,0.1,
154,9.0,10,0.857205969570888,0.1,
155,17.0,18,0.8563487636013172,0.1,
156,8.0,9,0.8554924148377159,0.1,
157,13.0,14,0.8546369224228781,0.1,
158,52.0,53,0.8537822855004553,0.1,
159,16.0,17,0.8529285032149548,0.1,
160,54.0,55,0.8520755747117399,0.1,21.7
161,28.0,29,0.8512234991370281,0.1,
162,44.0,45,0.8503722756378911,0.1,
163,13.0,14,0.8495219033622532,0.1,
164,48.0,49,0.8486723814588909,0.1,
165,11.0,12,0.847823709077432,0.1,
166,16.0,17,0.8469758853683546,0.1,
167,37.0,38,0.8461289094829862,0.1,
168,20.0,21,0.8452827805735033,0.1,
169,20.0,21,0.8444374977929298,0.1,
170,70.0,71,0.8435930602951368,0.1,
171,21.0,22,0.8427494672348417,0.1,
172,27.0,28,0.8419067177676068,0.1,
173,11.0,12,0.8410648110498392,0.1,
174,14.0,15,0.8402237462387894,0.1,
175,33.0,34,0.8393835224925505,0.1,
176,18.0,19,0.838544138970058,0.1,
177,33.0,34,0.8377055948310879,0.1,
178,24.0,25,0.8368678892362568,0.1,
179,14.0,15,0.8360310213470206,0.1,
180,13.0,14,0.8351949903256736,0.1,20.0
181,14.0,15,0.8343597953353479,0.1,
182,19.0,20,0.8335254355400126,0.1,
183,60.0,61,0.8326919101044725,0.1,
184,16.0,17,0.831859218194368,0.1,
185,16.0,17,0.8310273589761736,0.1,
186,23.0,24,0.8301963316171974,0.1,
187,27.0,28,0.8293661352855802,0.1,
188,21.0,22,0.8285367691502946,0.1,
189,19.0,20,0.8277082323811443,0.1,
190,53.0,54,0.8268805241487632,0.1,
191,52.0,53,0.8260536436246144,0.1,
192,31.0,32,0.8252275899809898,0.1,
193,14.0,15,0.8244023623910088,0.1,
194,26.0,27,0.8235779600286178,0.1,
195,34.0,35,0.8227543820685892,0.1,
196,29.0,30,0.8219316276865206,0.1,
197,34.0,35,0.8211096960588341,0.1,
198,26.0,27,0.8202885863627752,0.1,
199,51.0,52,0.8194682977764125,0.1,
200,10.0,11,0.818648829478636,0.1,20.5
201,33.0,34,0.8178301806491574,0.1,
202,18.0,19,0.8170123504685082,0.1,
203,31.0,32,0.8161953381180397,0.1,
204,23.0,24,0.8153791427799216,0.1,
205,28.0,29,0.8145637636371417,0.1,
206,37.0,38,0.8137491998735046,0.1,
207,24.0,25,0.812935450673631,0.1,
208,10.0,11,0.8121225152229574,0.1,
209,26.0,27,0.8113103927077344,0.1,
210,50.0,51,0.8104990823150267,0.1,
211,17.0,18,0.8096885832327116,0.1,
212,43.0,44,0.8088788946494789,0.1,
213,95.0,96,0.8080700157548294,0.1,
214,29.0,30,0.8072619457390746,0.1,
215,51.0,52,0.8064546837933355,0.1,
216,19.0,20,0.8056482291095421,0.1,
217,21.0,22,0.8048425808804326,0.1,
218,24.0,25,0.8040377382995522,0.1,
219,13.0,14,0.8032337005612527,0.1,
220,17.0,18,0.8024304668606914,0.1,37.6
221,15.0,16,0.8016280363938307,0.1,
222,17.0,18,0.8008264083574369,0.1,
223,26.0,27,0.8000255819490795,0.1,
224,57.0,58,0.7992255563671304,0.1,
225,12.0,13,0.7984263308107633,0.1,
