episode,reward,length,epsilon,lr,eval_reward
1,20.0,21,0.99,0.03,
2,23.0,24,0.9801,0.03,
3,20.0,21,0.9702989999999999,0.03,
4,16.0,17,0.96059601,0.03,
5,47.0,48,0.9509900498999999,0.03,
6,8.0,9,0.9414801494009999,0.03,
7,45.0,46,0.9320653479069899,0.03,
8,27.0,28,0.92274469442792,0.03,
9,30.0,31,0.9135172474836407,0.03,
10,10.0,11,0.9043820750088043,0.03,
11,15.0,16,0.8953382542587163,0.03,
12,19.0,20,0.8863848717161291,0.03,
13,25.0,26,0.8775210229989678,0.03,
14,10.0,11,0.8687458127689781,0.03,
15,35.0,36,0.8600583546412883,0.03,
16,71.0,72,0.8514577710948754,0.03,
17,30.0,31,0.8429431933839266,0.03,
18,24.0,25,0.8345137614500874,0.03,
19,25.0,26,0.8261686238355865,0.03,
20,21.0,22,0.8179069375972307,0.03,22.0
21,25.0,26,0.8097278682212583,0.03,
22,15.0,16,0.8016305895390458,0.03,
23,16.0,17,0.7936142836436553,0.03,
24,85.0,86,0.7856781408072188,0.03,
25,9.0,10,0.7778213593991465,0.03,
26,12.0,13,0.7700431458051551,0.03,
27,20.0,21,0.7623427143471035,0.03,
28,17.0,18,0.7547192872036325,0.03,
29,13.0,14,0.7471720943315961,0.03,
30,11.0,12,0.7397003733882802,0.03,
31,27.0,28,0.7323033696543974,0.03,
32,9.0,10,0.7249803359578534,0.03,
33,18.0,19,0.7177305325982748,0.03,
34,32.0,33,0.7105532272722921,0.03,
35,30.0,31,0.7034476949995692,0.03,
36,32.0,33,0.6964132180495735,0.03,
37,45.0,46,0.6894490858690777,0.03,
38,49.0,50,0.682554595010387,0.03,
39,18.0,19,0.6757290490602831,0.03,
40,36.0,37,0.6689717585696803,0.03,25.8
41,15.0,16,0.6622820409839835,0.03,
42,16.0,17,0.6556592205741436,0.03,
43,17.0,18,0.6491026283684022,0.03,
44,16.0,17,0.6426116020847181,0.03,
45,37.0,38,0.6361854860638709,0.03,
46,11.0,12,0.6298236312032323,0.03,
47,44.0,45,0.6235253948912,0.03,
48,17.0,18,0.617290140942288,0.03,
49,16.0,17,0.6111172395328651,0.03,
50,9.0,10,0.6050060671375365,0.03,
51,21.0,22,0.5989560064661611,0.03,
52,7.0,8,0.5929664464014994,0.03,
53,31.0,32,0.5870367819374844,0.03,
54,15.0,16,0.5811664141181095,0.03,
55,44.0,45,0.5753547499769285,0.03,
56,38.0,39,0.5696012024771592,0.03,
57,45.0,46,0.5639051904523876,0.03,
58,34.0,35,0.5582661385478638,0.03,
59,16.0,17,0.5526834771623851,0.03,
60,15.0,16,0.5471566423907612,0.03,28.1
61,30.0,31,0.5416850759668536,0.03,
62,13.0,14,0.536268225207185,0.03,
63,30.0,31,0.5309055429551132,0.03,
64,18.0,19,0.525596487525562,0.03,
65,25.0,26,0.5203405226503064,0.03,
66,15.0,16,0.5151371174238033,0.03,
67,44.0,45,0.5099857462495653,0.03,
68,22.0,23,0.5048858887870696,0.03,
69,31.0,32,0.4998370298991989,0.03,
70,48.0,49,0.49483865960020695,0.03,
71,16.0,17,0.4898902730042049,0.03,
72,38.0,39,0.48499137027416284,0.03,
73,17.0,18,0.4801414565714212,0.03,
74,16.0,17,0.475340042005707,0.03,
75,36.0,37,0.47058664158564995,0.03,
76,24.0,25,0.4658807751697934,0.03,
77,17.0,18,0.4612219674180955,0.03,
78,28.0,29,0.45660974774391455,0.03,
79,31.0,32,0.4520436502664754,0.03,
80,28.0,29,0.44752321376381066,0.03,27.4
81,21.0,22,0.44304798162617254,0.03,
82,33.0,34,0.4386175018099108,0.03,
83,15.0,16,0.4342313267918117,0.03,
84,41.0,42,0.4298890135238936,0.03,
85,20.0,21,0.42559012338865465,0.03,
86,31.0,32,0.4213342221547681,0.03,
87,14.0,15,0.41712087993322045,0.03,
88,43.0,44,0.41294967113388825,0.03,
89,24.0,25,0.40882017442254937,0.03,
90,45.0,46,0.4047319726783239,0.03,
91,21.0,22,0.40068465295154065,0.03,
92,21.0,22,0.39667780642202527,0.03,
93,28.0,29,0.392711028357805,0.03,
94,22.0,23,0.38878391807422696,0.03,
95,41.0,42,0.3848960788934847,0.03,
96,42.0,43,0.38104711810454983,0.03,
97,63.0,64,0.37723664692350434,0.03,
98,38.0,39,0.37346428045426927,0.03,
99,35.0,36,0.36972963764972655,0.03,
100,42.0,43,0.36603234127322926,0.03,25.8
101,59.0,60,0.36237201786049694,0.03,
102,16.0,17,0.358748297681892,0.03,
103,30.0,31,0.35516081470507305,0.03,
104,15.0,16,0.3516092065580223,0.03,
105,40.0,41,0.34809311449244207,0.03,
106,36.0,37,0.34461218334751764,0.03,
107,23.0,24,0.34116606151404244,0.03,
108,43.0,44,0.337754400898902,0.03,
109,23.0,24,0.334376856889913,0.03,
110,24.0,25,0.33103308832101386,0.03,
111,19.0,20,0.3277227574378037,0.03,
112,32.0,33,0.3244455298634257,0.03,
113,33.0,34,0.3212010745647914,0.03,
114,13.0,14,0.3179890638191435,0.03,
115,14.0,15,0.31480917318095203,0.03,
116,23.0,24,0.3116610814491425,0.03,
117,44.0,45,0.30854447063465107,0.03,
118,14.0,15,0.30545902592830454,0.03,
119,61.0,62,0.3024044356690215,0.03,
120,31.0,32,0.29938039131233124,0.03,32.9
121,33.0,34,0.2963865873992079,0.03,
122,15.0,16,0.29342272152521587,0.03,
123,23.0,24,0.2904884943099637,0.03,
124,27.0,28,0.28758360936686406,0.03,
125,37.0,38,0.2847077732731954,0.03,
126,18.0,19,0.28186069554046345,0.03,
127,59.0,60,0.2790420885850588,0.03,
128,22.0,23,0.2762516676992082,0.03,
129,11.0,12,0.27348915102221616,0.03,
130,29.0,30,0.270754259511994,0.03,
131,38.0,39,0.26804671691687404,0.03,
132,62.0,63,0.2653662497477053,0.03,
133,34.0,35,0.2627125872502282,0.03,
134,21.0,22,0.2600854613777259,0.03,
135,26.0,27,0.2574846067639487,0.03,
136,21.0,22,0.2549097606963092,0.03,
137,52.0,53,0.2523606630893461,0.03,
138,32.0,33,0.24983705645845267,0.03,
139,13.0,14,0.24733868589386815,0.03,
140,25.0,26,0.24486529903492946,0.03,33.5
141,16.0,17,0.24241664604458016,0.03,
142,29.0,30,0.23999247958413436,0.03,
143,39.0,40,0.23759255478829303,0.03,
144,38.0,39,0.2352166292404101,0.03,
145,24.0,25,0.232864462948006,0.03,
146,20.0,21,0.23053581831852593,0.03,
147,34.0,35,0.22823046013534068,0.03,
148,29.0,30,0.22594815553398728,0.03,
149,49.0,50,0.22368867397864742,0.03,
150,30.0,31,0.22145178723886094,0.03,
151,45.0,46,0.21923726936647234,0.03,
152,28.0,29,0.2170448966728076,0.03,
153,27.0,28,0.21487444770607952,0.03,
154,14.0,15,0.21272570322901874,0.03,
155,14.0,15,0.21059844619672854,0.03,
