episode,reward,length,epsilon,lr,eval_reward
1,27.0,28,0.9508020378045942,0.06106770690726122,
2,39.0,40,0.9040245150933689,0.06106770690726122,
3,13.0,14,0.8595483511760852,0.06106770690726122,
4,19.0,20,0.8172603238898007,0.06106770690726122,
5,32.0,33,0.7770527813712652,0.06106770690726122,
6,12.0,13,0.7388233680095267,0.06106770690726122,
7,36.0,37,0.7024747638811116,0.06106770690726122,
8,16.0,17,0.6679144370044621,0.06106770690726122,
9,21.0,22,0.6350544077829507,0.06106770690726122,
10,34.0,35,0.6038110250368193,0.06106770690726122,
11,11.0,12,0.5741047530538886,0.06106770690726122,
12,32.0,33,0.5458599691169406,0.06106770690726122,
13,32.0,33,0.5190047709923399,0.06106770690726122,
14,57.0,58,0.49347079388982346,0.06106770690726122,
15,20.0,21,0.469193036427495,0.06106770690726122,
16,41.0,42,0.4461096951589874,0.06106770690726122,
17,46.0,47,0.4241620072415515,0.06106770690726122,
18,91.0,92,0.4032941008445542,0.06106770690726122,
19,18.0,19,0.38345285291757364,0.06106770690726122,
20,49.0,50,0.36458775395601434,0.06106770690726122,39.0
21,63.0,64,0.3466507794199784,0.06106770690726122,
22,28.0,29,0.32959626747906634,0.06106770690726122,
23,38.0,39,0.31338080277188435,0.06106770690726122,
24,14.0,15,0.29796310588434727,0.06106770690726122,
25,13.0,14,0.28330392826542344,0.06106770690726122,
26,49.0,50,0.2693659523128112,0.06106770690726122,
27,61.0,62,0.256113696374196,0.06106770690726122,
28,19.0,20,0.24351342442225266,0.06106770690726122,
29,45.0,46,0.23153306017345285,0.06106770690726122,
30,27.0,28,0.22014210543205268,0.06106770690726122,
31,41.0,42,0.2093115624513895,0.06106770690726122,
32,31.0,32,0.1990138601148447,0.06106770690726122,
33,21.0,22,0.18922278374855278,0.06106770690726122,
34,73.0,74,0.17991340838718203,0.06106770690726122,
35,16.0,17,0.17106203532290284,0.06106770690726122,
36,30.0,31,0.1626461317760175,0.06106770690726122,
37,19.0,20,0.154644273533672,0.06106770690726122,
38,35.0,36,0.1470360904106264,0.06106770690726122,
39,23.0,24,0.13980221439324414,0.06106770690726122,
40,48.0,49,0.13292423033469128,0.06106770690726122,40.1
41,66.0,67,0.12638462907583173,0.06106770690726122,
42,27.0,28,0.12016676287247857,0.06106770690726122,
43,28.0,29,0.11425480301553408,0.06106770690726122,
44,73.0,74,0.10863369953613229,0.06106770690726122,
45,37.0,38,0.10328914289320658,0.06106770690726122,
46,45.0,46,0.09820752754595073,0.06106770690726122,
47,22.0,23,0.09337591731844078,0.06106770690726122,
48,24.0,25,0.08878201246824678,0.06106770690726122,
49,70.0,71,0.08441411837520192,0.06106770690726122,
50,50.0,51,0.08026111577062023,0.06106770690726122,
51,26.0,27,0.07631243243117616,0.06106770690726122,
52,36.0,37,0.0725580162653877,0.06106770690726122,
53,76.0,77,0.06898830972418951,0.06106770690726122,
54,34.0,35,0.06559422547045389,0.06106770690726122,
55,40.0,41,0.06236712324552157,0.06106770690726122,
56,56.0,57,0.059298787873852184,0.06106770690726122,
57,68.0,69,0.056381408349801015,0.06106770690726122,
58,37.0,38,0.053607557953283765,0.06106770690726122,
59,23.0,24,0.05097017534371008,0.06106770690726122,
60,60.0,61,0.04846254658405703,0.06106770690726122,49.2
61,39.0,40,0.04607828804932149,0.06106770690726122,
62,41.0,42,0.043811330175841955,0.06106770690726122,
63,19.0,20,0.04165590201012044,0.06106770690726122,
64,37.0,38,0.039606516517811004,0.06106770690726122,
65,39.0,40,0.037657956615476024,0.06106770690726122,
66,82.0,83,0.035805261889551604,0.06106770690726122,
67,74.0,75,0.03404371596871284,0.06106770690726122,
68,25.0,26,0.03236883451749297,0.06106770690726122,
69,36.0,37,0.030776353820592003,0.06106770690726122,
70,32.0,33,0.029262219928814084,0.06106770690726122,
71,60.0,61,0.027822578339002636,0.06106770690726122,
72,51.0,52,0.026453764181701665,0.06106770690726122,
73,72.0,73,0.025152292891564124,0.06106770690726122,
74,102.0,103,0.02391485133675718,0.06106770690726122,
75,43.0,44,0.02273828938478265,0.06106770690726122,
76,50.0,51,0.021619611883241914,0.06106770690726122,
77,28.0,29,0.02055597103513083,0.06106770690726122,
78,22.0,23,0.019544659149254608,0.06106770690726122,
79,29.0,30,0.018583101747307488,0.06106770690726122,
80,33.0,34,0.017668851010070073,0.06106770690726122,63.0
81,36.0,37,0.01679957954604039,0.06106770690726122,
82,19.0,20,0.01597307446663558,0.06106770690726122,
83,26.0,27,0.015187231752881641,0.06106770690726122,
84,36.0,37,0.014440050899250503,0.06106770690726122,
85,48.0,49,0.013729629821009441,0.06106770690726122,
86,100.0,101,0.013054160012118503,0.06106770690726122,
87,39.0,40,0.012411921941349519,0.06106770690726122,
88,46.0,47,0.011801280674906676,0.06106770690726122,
89,45.0,46,0.011220681714405245,0.06106770690726122,
90,63.0,64,0.010668647039613254,0.06106770690726122,
91,48.0,49,0.010143771345882232,0.06106770690726122,
92,37.0,38,0.01,0.06106770690726122,
93,95.0,96,0.01,0.06106770690726122,
94,28.0,29,0.01,0.06106770690726122,
95,25.0,26,0.01,0.06106770690726122,
96,62.0,63,0.01,0.06106770690726122,
97,17.0,18,0.01,0.06106770690726122,
98,47.0,48,0.01,0.06106770690726122,
99,58.0,59,0.01,0.06106770690726122,
100,96.0,97,0.01,0.06106770690726122,48.5
101,52.0,53,0.01,0.06106770690726122,
102,143.0,144,0.01,0.06106770690726122,
103,46.0,47,0.01,0.06106770690726122,
104,70.0,71,0.01,0.06106770690726122,
105,57.0,58,0.01,0.06106770690726122,
106,18.0,19,0.01,0.06106770690726122,
107,19.0,20,0.01,0.06106770690726122,
108,54.0,55,0.01,0.06106770690726122,
109,28.0,29,0.01,0.06106770690726122,
110,49.0,50,0.01,0.06106770690726122,
111,76.0,77,0.01,0.06106770690726122,
112,108.0,109,0.01,0.06106770690726122,
113,27.0,28,0.01,0.06106770690726122,
114,28.0,29,0.01,0.06106770690726122,
115,46.0,47,0.01,0.06106770690726122,
116,76.0,77,0.01,0.06106770690726122,
117,41.0,42,0.01,0.06106770690726122,
118,41.0,42,0.01,0.06106770690726122,
119,50.0,51,0.01,0.06106770690726122,
120,74.0,75,0.01,0.06106770690726122,48.4
