Episode,Reward,Length
1,14.0,16
2,25.0,27
3,16.0,18
4,14.0,16
5,12.0,14
6,9.0,11
7,14.0,16
8,9.0,11
9,30.0,32
10,35.0,37
11,35.0,25
12,23.0,25
13,23.0,24
14,22.0,30
15,28.0,22
16,20.0,16
17,14.0,28
18,26.0,28
19,26.0,23
20,21.0,56
21,54.0,14
22,54.0,47
23,12.0,12
24,45.0,25
25,10.0,33
26,23.0,16
27,31.0,66
28,14.0,28
29,64.0,33
30,26.0,27
31,31.0,19
32,25.0,16
33,25.0,25
34,17.0,17
35,14.0,22
36,23.0,14
37,15.0,40
38,20.0,13
39,12.0,19
40,38.0,25
41,11.0,26
42,17.0,23
43,23.0,16
44,23.0,18
45,24.0,25
46,21.0,17
47,14.0,14
48,16.0,36
49,23.0,14
50,15.0,94
51,12.0,25
52,34.0,17
53,12.0,50
54,92.0,23
55,92.0,17
56,23.0,13
57,15.0,34
58,48.0,31
59,21.0,18
60,15.0,13
61,11.0,36
62,32.0,19
63,29.0,14
64,16.0,86
65,11.0,58
66,11.0,18
67,34.0,22
68,17.0,42
69,12.0,46
70,84.0,13
71,56.0,16
72,16.0,15
73,20.0,13
74,40.0,15
75,44.0,13
76,11.0,17
77,11.0,15
78,14.0,21
79,13.0,12
80,11.0,22
81,13.0,13
82,11.0,16
83,15.0,12
84,13.0,21
85,19.0,24
86,10.0,20
87,20.0,35
88,20.0,35
89,11.0,16
90,14.0,23
91,10.0,37
92,19.0,33
93,22.0,12
94,18.0,52
95,33.0,30
96,33.0,11
97,14.0,32
98,21.0,41
99,21.0,32
100,35.0,27
101,31.0,39
102,10.0,43
103,50.0,19
104,28.0,46
105,9.0,42
106,30.0,41
107,39.0,14
108,30.0,62
109,25.0,28
110,25.0,12
111,37.0,14
112,41.0,29
113,17.0,15
114,44.0,81
115,40.0,27
116,39.0,72
117,12.0,11
118,60.0,43
119,26.0,26
120,10.0,34
121,10.0,42
122,12.0,29
123,27.0,76
124,13.0,16
125,79.0,61
126,25.0,16
127,70.0,17
128,9.0,143
129,41.0,22
130,24.0,55
131,32.0,35
132,32.0,22
133,40.0,125
134,27.0,26
135,74.0,110
136,14.0,20
137,59.0,113
138,14.0,35
139,15.0,70
140,141.0,18
141,20.0,29
142,53.0,83
143,53.0,115
144,33.0,28
145,20.0,90
146,123.0,43
147,24.0,167
148,108.0,62
149,18.0,84
150,111.0,38
151,33.0,15
152,68.0,37
153,16.0,59
154,16.0,55
155,27.0,20
156,81.0,87
157,113.0,171
158,26.0,57
159,88.0,104
160,41.0,95
161,165.0,154
162,60.0,107
163,82.0,139
164,36.0,90
165,36.0,198
166,13.0,253
167,35.0,102
168,57.0,183
169,53.0,82
170,18.0,187
171,85.0,183
172,169.0,56
173,55.0,159
174,102.0,151
175,93.0,121
176,93.0,187
177,152.0,219
178,105.0,199
179,137.0,221
180,88.0,119
181,196.0,165
182,251.0,32
183,100.0,157
184,181.0,73
185,80.0,344
186,185.0,265
187,185.0,287
188,181.0,16
189,54.0,102
190,157.0,130
191,149.0,21
192,119.0,58
193,185.0,15
194,217.0,39
195,197.0,18
196,219.0,39
197,117.0,144
198,117.0,173
199,163.0,159
200,30.0,41
201,155.0,15
202,71.0,46
203,342.0,151
204,263.0,39
205,285.0,169
206,14.0,256
207,100.0,47
208,128.0,49
209,128.0,76
210,19.0,146
211,56.0,120
212,13.0,43
213,37.0,29
214,16.0,183
215,37.0,26
216,142.0,120
217,171.0,28
218,157.0,72
219,39.0,73
220,39.0,39
221,13.0,29
222,44.0,89
223,149.0,41
224,37.0,28
225,167.0,14
226,254.0,192
227,45.0,155
228,47.0,38
229,74.0,51
230,144.0,65
231,144.0,73
232,118.0,66
233,41.0,170
234,27.0,14
235,181.0,23
236,24.0,44
237,118.0,257
238,26.0,208
239,70.0,60
240,71.0,125
241,37.0,125
242,37.0,146
243,27.0,12
244,87.0,31
245,39.0,297
246,26.0,62
247,12.0,25
248,190.0,173
249,153.0,20
250,36.0,69
251,49.0,46
252,63.0,246
253,63.0,14
254,71.0,408
255,64.0,290
256,168.0,192
257,12.0,22
258,21.0,145
259,42.0,41
260,255.0,215
261,206.0,42
262,58.0,74
263,123.0,19
264,123.0,170
265,123.0,214
266,144.0,198
267,10.0,14
268,29.0,11
269,295.0,79
270,60.0,205
271,23.0,230
272,171.0,16
273,18.0,178
274,67.0,207
275,67.0,182
276,44.0,15
277,244.0,81
278,12.0,139
279,406.0,42
280,288.0,126
281,190.0,17
282,20.0,229
283,143.0,35
284,39.0,142
285,213.0,208
286,213.0,47
287,40.0,311
288,72.0,201
289,17.0,187
290,168.0,167
291,212.0,165
292,196.0,167
293,12.0,234
294,9.0,25
295,77.0,163
296,203.0,121
297,203.0,72
298,228.0,325
299,14.0,143
300,176.0,397
301,205.0,461
302,180.0,501
303,13.0,501
304,79.0,131
305,137.0,326
306,40.0,142
307,124.0,113
308,124.0,140
309,15.0,13
310,227.0,17
311,33.0,115
312,140.0,122
313,206.0,42
314,45.0,84
315,309.0,89
316,199.0,135
317,185.0,142
318,165.0,313
319,165.0,131
320,163.0,133
321,165.0,118
322,232.0,122
323,23.0,116
324,161.0,114
325,119.0,130
326,70.0,119
327,323.0,101
328,141.0,108
329,395.0,73
330,395.0,25
331,459.0,41
332,500.0,107
333,500.0,101
334,129.0,111
335,324.0,107
336,140.0,48
337,111.0,41
338,138.0,104
339,11.0,111
340,15.0,116
341,15.0,131
342,113.0,102
343,120.0,309
344,40.0,109
345,82.0,106
346,87.0,93
347,133.0,116
348,140.0,111
349,311.0,24
350,129.0,100
351,131.0,83
352,131.0,23
353,116.0,14
354,120.0,114
355,114.0,119
356,112.0,72
357,128.0,15
358,117.0,114
359,99.0,112
360,106.0,121
361,71.0,112
362,23.0,103
363,23.0,16
364,39.0,106
365,105.0,100
366,99.0,104
367,109.0,103
368,105.0,97
